Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-11 13:23:06.857857,-0.000319,-1.02047,0.059915,-0.000307,1.4E-05,-0.001069,0.660845,-5.93724,-3.08901
2020-05-11 13:23:06.910705,-0.001125,-1.024477,0.059915,-0.000592,-0.000281,-0.001771,1.105521,-10.626044,-5.499202
2020-05-11 13:23:06.963451,-0.00187,-1.023121,0.060584,-0.000425,-0.000124,-0.000679,1.444462,-14.480766,-7.450599
2020-05-11 13:23:07.016331,0.001107,-1.021025,0.058454,-0.000854,0.000323,-0.002428,1.682015,-17.619432,-8.976851
2020-05-11 13:23:07.069120,-0.000133,-1.021641,0.060037,-0.000235,0.000312,-0.002495,2.006457,-20.124268,-10.224002
2020-05-11 13:23:07.121980,5.3E-05,-1.022381,0.061436,-0.002441,-0.002208,-0.001969,2.103611,-22.20742,-11.105502
2020-05-11 13:23:07.174719,-0.000319,-1.022504,0.060524,-0.002212,0.001113,-0.001903,2.310134,-24.056906,-12.034428
2020-05-11 13:23:07.227513,-0.000381,-1.022998,0.058272,-0.004796,-0.001433,-0.00243,2.318553,-25.365728,-12.78919
2020-05-11 13:23:07.280206,-0.000815,-1.023737,0.059732,-0.051433,-5.7E-05,-0.001168,2.538087,-26.351799,-13.25644
2020-05-11 13:23:07.332962,-0.000381,-1.021087,0.066914,-0.085297,0.001126,-0.000686,2.411315,-27.116259,-13.609901
2020-05-11 13:23:07.385744,-0.000381,-1.02232,0.072513,-0.105778,0.00035,0.00037,2.433097,-27.636345,-13.825844
2020-05-11 13:23:07.438509,-0.001498,-1.022135,0.077564,-0.165879,0.000339,-0.000676,2.316123,-28.089006,-13.771966
2020-05-11 13:23:07.491194,-0.000257,-1.017203,0.09716,-0.217803,0.00156,-0.000523,2.424144,-28.646297,-14.086244
2020-05-11 13:23:07.543995,-0.000257,-1.015045,0.108297,-0.153854,0.000623,0.00038,2.42656,-29.049438,-14.020964
2020-05-11 13:23:07.596810,-0.004971,-1.026018,0.08158,0.714338,-0.000752,-0.007408,2.350093,-29.33536,-14.108205
2020-05-11 13:23:07.649537,-0.00311,-1.041368,0.180658,0.240001,0.002455,-0.010768,2.26652,-29.411627,-14.416251
2020-05-11 13:23:07.702299,-0.029529,-1.033292,0.046404,0.037499,-0.009457,-0.008325,2.278061,-29.423849,-14.441868
2020-05-11 13:23:07.755039,-0.049189,-1.011655,0.031068,0.026358,0.029094,-0.003914,2.393694,-29.482418,-14.564055
2020-05-11 13:23:07.807770,-0.00435,-1.036498,0.038797,0.084849,0.00191,-0.000554,2.603801,-29.328012,-14.897153
2020-05-11 13:23:07.860644,-0.041933,-1.023059,0.050969,0.068734,0.004947,-0.00275,2.827886,-29.265476,-15.213024
2020-05-11 13:23:07.913418,0.019102,-1.018436,0.09929,0.000775,0.008001,0.001221,3.180754,-29.123966,-15.404705
2020-05-11 13:23:07.966305,-0.042367,-1.022936,0.017862,0.217785,-0.030484,-0.003971,3.379048,-28.99856,-15.697515
2020-05-11 13:23:08.019035,0.011429,-1.021518,0.038189,-0.110249,-0.005438,-0.007026,3.996884,-28.757963,-15.708038
2020-05-11 13:23:08.071771,-0.084662,-1.029717,0.128807,0.002608,0.018996,-0.000459,4.591952,-28.900919,-15.745512
2020-05-11 13:23:08.124531,0.118174,-1.027374,-0.047097,0.012534,-0.014601,-0.005346,5.107207,-29.094568,-15.816169
2020-05-11 13:23:08.177265,-0.031142,-0.973805,0.247967,0.013451,0.024189,0.006871,5.749011,-29.298277,-15.625724
2020-05-11 13:23:08.230011,-0.037653,-1.042724,0.062958,0.001997,-0.02239,-0.007179,6.676854,-29.839369,-15.749393
2020-05-11 13:23:08.282838,0.035737,-1.023367,0.106837,0.01849,-0.021168,0.001221,7.413528,-30.644268,-15.505476
2020-05-11 13:23:08.335629,0.019225,-1.062944,0.062045,-0.00793,0.056565,-0.000459,7.974868,-31.312582,-15.112766
2020-05-11 13:23:08.388355,-0.004784,-1.002655,0.154367,0.012076,0.001281,0.000457,8.099139,-32.487606,-15.033947
2020-05-11 13:23:08.441376,0.082756,-1.008881,0.09077,0.027348,0.026785,-0.003819,8.288157,-33.220264,-14.514724
2020-05-11 13:23:08.494119,0.01149,-1.019361,0.082311,0.004288,0.010292,-0.001223,8.327371,-34.300392,-14.273677
2020-05-11 13:23:08.546999,-0.032692,-1.026696,0.078233,0.005178,-0.004224,-0.000739,8.067542,-35.499928,-14.513762
2020-05-11 13:23:08.599915,-0.027049,-1.0156,0.206218,0.037096,0.023265,-0.006237,7.630079,-36.551041,-14.261285
2020-05-11 13:23:08.652740,-0.036227,-1.013936,0.080424,0.016937,-0.012317,-0.001044,7.190508,-37.727364,-14.849607
2020-05-11 13:23:08.705601,0.044883,-1.00586,0.066001,0.005178,-0.010179,0.002315,6.418852,-38.522049,-15.038427
2020-05-11 13:23:08.758428,0.039726,-1.02158,0.192038,0.000291,0.002954,-0.000281,5.874327,-39.096809,-15.36091
2020-05-11 13:23:08.811237,0.025486,-0.997785,0.104037,-0.009024,0.023571,-0.003335,5.388307,-39.544422,-15.647952
2020-05-11 13:23:08.864033,0.002844,-0.988661,0.075921,0.014601,-0.028441,-0.000862,4.96029,-39.933006,-15.697443
