Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-11 13:20:37.838890,-0.00404,0.003118,1.000115,-0.002239,0.000179,-0.001094,-0.358355,-0.03362,7.644006
2020-05-11 13:20:37.892081,-0.003668,0.002569,1.000845,-0.002164,0.000173,0.000714,-1.333839,-0.206887,13.901581
2020-05-11 13:20:37.944908,-0.002428,0.002752,1.000663,-0.003421,0.00061,-0.000491,-2.063826,-0.333303,18.683914
2020-05-11 13:20:37.997778,-0.002056,0.003057,1.001697,-0.002569,-1E-06,-3.1E-05,-2.703815,-0.294163,22.440048
2020-05-11 13:20:38.050498,-0.003792,0.002935,1.001089,-0.002335,-0.000591,0.00056,-3.087007,-0.427519,25.50016
2020-05-11 13:20:38.103282,-0.002304,0.003729,1.000845,-0.001667,0.000166,-0.00123,-3.55036,-0.485413,28.102243
2020-05-11 13:20:38.156154,-0.00218,0.002447,1.001576,-0.003088,0.000899,0.00014,-3.859443,-0.470741,29.887547
2020-05-11 13:20:38.208888,-0.003296,0.003362,1.000724,-0.002985,0.000721,-0.000751,-4.084309,-0.452904,31.562759
2020-05-11 13:20:38.261629,-0.003172,0.003118,1.000115,-0.002738,-4.1E-05,0.000455,-4.129802,-0.603302,32.644337
2020-05-11 13:20:38.314567,-0.003172,0.002325,1.000602,-0.000875,0.000108,0.00044,-4.356596,-0.595546,33.712986
2020-05-11 13:20:38.367440,-0.002738,0.001958,0.999446,-0.001141,0.000105,0.000278,-4.459632,-0.455167,34.623112
2020-05-11 13:20:38.420208,-0.003234,0.002874,1.000602,-0.000955,-4.6E-05,-0.00047,-4.693261,-0.446544,35.394794
2020-05-11 13:20:38.472990,-0.001932,0.001348,1.001271,-0.0024,0.00025,-1.1E-05,-4.891364,-0.335966,36.067345
2020-05-11 13:20:38.525827,-0.003234,0.003057,1.000602,-0.001582,0.000242,0.000285,-4.921046,-0.259702,36.311928
2020-05-11 13:20:38.578672,-0.002428,0.002752,1.001089,-0.002119,0.000824,0.001308,-5.135191,-0.259678,36.763279
2020-05-11 13:20:38.631469,-0.002366,0.002569,1.000845,-0.002787,0.000354,0.000527,-5.284108,-0.308449,37.08659
2020-05-11 13:20:38.684282,-0.002428,0.002386,1.001271,-0.001956,0.000785,0.001838,-5.341641,-0.292577,37.176716
2020-05-11 13:20:38.737070,-0.002862,0.00324,1.001515,-0.002186,0.000611,5E-06,-5.314867,-0.200595,37.362133
2020-05-11 13:20:38.789809,-0.002118,0.001958,1.000663,-0.00167,0.000443,0.000448,-5.215049,-0.291676,37.411678
2020-05-11 13:20:38.842583,-0.004226,0.002569,1.000785,-0.002057,-0.000752,0.000138,-5.258394,-0.443826,37.300228
2020-05-11 13:20:38.895422,-0.002924,0.002264,1.000724,-0.001251,0.001192,0.000576,-5.27627,-0.400878,37.289516
2020-05-11 13:20:38.948161,-0.001684,0.002508,1.001271,-0.001947,0.000709,-3.4E-05,-5.374571,-0.403113,37.251892
2020-05-11 13:20:39.000947,-0.002738,0.001897,1.000054,-0.001882,-0.0002,-0.000328,-5.212411,-0.441493,37.329296
2020-05-11 13:20:39.053671,-0.002614,0.002935,1.001393,1E-04,-4.6E-05,-0.000317,-5.177884,-0.539284,37.516159
2020-05-11 13:20:39.106473,-0.003854,0.003179,1.001637,-0.000346,-0.000487,-0.001487,-5.021462,-0.538233,37.383812
2020-05-11 13:20:39.159222,-0.00249,0.002569,1.00048,-0.001221,0.001005,0.000481,-5.030725,-0.561787,37.420307
2020-05-11 13:20:39.211998,-0.00373,0.003851,1.000115,-0.00059,0.000381,0.000318,-5.054935,-0.586729,37.318752
2020-05-11 13:20:39.264725,-0.002118,0.001958,1.001028,-0.001751,-7.4E-05,0.000159,-5.085503,-0.57009,37.385693
