Time, AccX, AccY, AccZ, GyrX, GyrY, GyrZ, Mag(1), Mag(2), Mag(3)
2020-05-11 13:24:25.570001, -0.004350, -1.012826, -0.026627, 0.015270, 0.001389, 0.000611, 0.655245, -5.632301, -3.780525
2020-05-11 13:24:25.622837, -0.005343, -1.031073, -0.031048, -0.015207, 0.000014, -0.014467, 1.089841, -10.113747, -6.630614
2020-05-11 13:24:25.675601, -0.003234, -1.020100, -0.021177, -0.057364, 0.001195, -0.000551, 1.325518, -13.826978, -9.241915
2020-05-11 13:24:25.728374, -0.005529, -1.027806, -0.025598, -0.002159, 0.000859, 0.000648, 1.542060, -16.760969, -11.153718
2020-05-11 13:24:25.781187, -0.002428, -1.016895, -0.021237, 0.017842, 0.002012, -0.000407, 1.726493, -19.193546, -12.918509
2020-05-11 13:24:25.833924, -0.005901, -1.029964, -0.029958, 0.063897, 0.000616, -0.005855, 1.812440, -21.084719, -14.481428
2020-05-11 13:24:25.886717, -0.004722, -1.019607, -0.028202, 0.044495, 0.000153, -0.001379, 1.802797, -22.475681, -15.449928
2020-05-11 13:24:25.939456, -0.003420, -1.026758, -0.032986, -0.005262, 0.001181, -0.002219, 2.013483, -23.728722, -16.474604
2020-05-11 13:24:25.992269, -0.000505, -1.010237, -0.019542, -0.028116, -0.000777, 0.004646, 2.047632, -24.798241, -17.096767
2020-05-11 13:24:26.045004, -0.000443, -1.029532, -0.029897, 0.084722, 0.001315, -0.008205, 2.097351, -25.568474, -17.510239
2020-05-11 13:24:26.097789, -0.007823, -1.052156, -0.032441, 0.250724, -0.000670, -0.029432, 2.103526, -26.080980, -18.111229
2020-05-11 13:24:26.150592, -0.023079, -1.017819, -0.027536, 0.392903, -0.000365, -0.269502, 2.326866, -26.527578, -18.714054
2020-05-11 13:24:26.203413, 0.000053, -1.011223, -0.035408, -0.074256, 0.001010, 0.269892, 2.343138, -26.805574, -19.033604
2020-05-11 13:24:26.256295, -0.005653, -1.024354, -0.110927, -0.203607, -0.004335, 0.002180, 2.440156, -27.009674, -19.472292
2020-05-11 13:24:26.309144, 0.000053, -0.997538, -0.003251, -0.564475, -0.016705, 0.006151, 2.366570, -27.209545, -19.788376
2020-05-11 13:24:26.362085, -0.005777, -1.026142, -0.036075, -0.025426, -0.002272, -0.022399, 2.442101, -27.552406, -19.660620
2020-05-11 13:24:26.414871, -0.006397, -1.026203, -0.029958, 0.097508, 0.005776, -0.018552, 2.502526, -27.857189, -19.822817
2020-05-11 13:24:26.467630, -0.006025, -1.018436, -0.042857, 0.099572, 0.015031, -0.014981, 2.259666, -27.985138, -19.804394
2020-05-11 13:24:26.520324, -0.011606, -1.036066, -0.050246, -0.020667, -0.002594, -0.004295, 2.216578, -27.989918, -20.025003
2020-05-11 13:24:26.573074, -0.006149, -1.019669, -0.049882, -0.079766, -0.001179, 0.021092, 2.081308, -28.195002, -19.844110
