Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-15 09:36:34.439797,-0.008568,-0.048078,1.00328,-0.002344,-0.001799,0.003496,-0.212349,-3.062391,7.881281
2020-05-15 09:36:34.492685,-0.00894,-0.047277,1.003949,-0.001675,-0.001296,0.004413,-0.354602,-5.593452,14.314332
2020-05-15 09:36:34.545427,-0.008816,-0.047708,1.002549,-0.000881,7.6E-05,0.005152,-0.635556,-7.609845,19.362869
2020-05-15 09:36:34.598187,-0.00863,-0.048017,1.002671,-0.002033,7.3E-05,0.005127,-0.937777,-9.236288,23.35848
2020-05-15 09:36:34.650890,-0.009188,-0.04703,1.002549,-0.001079,-0.00052,0.004218,-1.052848,-10.61366,26.524103
2020-05-15 09:36:34.703608,-0.009126,-0.048325,1.002428,-0.000748,-0.000207,0.004225,-1.151592,-11.686482,29.047958
2020-05-15 09:36:34.756389,-0.00863,-0.046969,1.003462,-0.001314,-5.3E-05,0.005118,-1.264417,-12.628785,31.124447
2020-05-15 09:36:34.809126,-0.009684,-0.04814,1.002002,-8.9E-05,-0.001379,0.003176,-1.574847,-13.27773,32.891285
2020-05-15 09:36:34.861903,-0.009002,-0.048017,1.001211,-0.000529,-0.0003,0.003513,-1.492776,-13.910384,33.844353
2020-05-15 09:36:34.914649,-0.009436,-0.048448,1.002671,-0.000954,5E-06,0.003839,-1.561263,-14.300995,35.242634
2020-05-15 09:36:34.967490,-0.007823,-0.047462,1.001819,-0.00107,0.0003,0.003711,-1.52534,-14.655472,36.015785
2020-05-15 09:36:35.020254,-0.009746,-0.047708,1.001819,-1E-06,-0.0003,0.002701,-1.593654,-14.76043,36.728306
2020-05-15 09:36:35.073098,-0.009126,-0.04814,1.001697,-0.001182,-0.00029,0.003054,-1.399434,-15.128568,37.28688
2020-05-15 09:36:35.125895,-0.008754,-0.046845,1.001454,-0.001438,-0.001019,0.002657,-1.498168,-15.380958,37.653351
2020-05-15 09:36:35.178597,-0.00894,-0.048386,1.002975,8.6E-05,4.9E-05,0.001387,-1.672872,-15.612999,37.828472
2020-05-15 09:36:35.231418,-0.008505,-0.047647,0.999324,-0.001983,-0.000543,0.00326,-1.788186,-15.793667,38.843128
2020-05-15 09:36:35.284258,-0.00925,-0.047338,1.001576,-0.000588,-0.000968,0.00389,-1.902523,-15.982168,38.97543
2020-05-15 09:36:35.337156,-0.009312,-0.048201,1.001819,-0.001455,-0.000936,0.001693,-1.891041,-16.109426,39.138947
2020-05-15 09:36:35.389938,-0.011978,-0.046599,0.999141,-0.000668,0.000276,0.002227,-1.638991,-16.122223,39.095757
2020-05-15 09:36:35.442667,-0.0108,-0.049188,1.000724,0.000683,-0.001062,0.00171,-1.673676,-16.084719,39.097687
2020-05-15 09:36:35.495508,-0.007389,-0.048325,1.002428,-0.003769,0.00045,0.002539,-1.524657,-16.019529,38.938564
2020-05-15 09:36:35.548260,-0.008133,-0.047277,1.001941,0.000491,0.00014,0.000978,-1.556851,-16.108515,38.835186
2020-05-15 09:36:35.601053,-0.009622,-0.045736,1.00115,-0.012517,0.000283,0.002569,-1.546484,-16.187077,38.802631
