Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-15 11:00:54.361869,-0.004412,-0.031619,1.001819,-0.000268,-0.003616,0.009281,0.148998,-3.309041,8.342392
2020-05-15 11:00:54.414718,-0.004226,-0.032482,1.000785,0.000774,-0.001133,0.006757,0.371013,-5.942584,15.302476
2020-05-15 11:00:54.467709,-0.006087,-0.032174,1.001697,0.001044,-0.002129,0.00786,0.493063,-8.139236,20.760048
2020-05-15 11:00:54.520397,-0.00466,-0.032852,1.002063,-0.000615,-0.001615,0.00627,0.643896,-9.756402,25.017485
2020-05-15 11:00:54.573098,-0.006397,-0.032544,1.002063,0.000882,-0.001561,0.006946,0.860118,-11.05539,28.420944
2020-05-15 11:00:54.625811,-0.005901,-0.030694,1.002549,0.00159,-0.001657,0.005977,0.950531,-12.18702,31.262453
2020-05-15 11:00:54.678528,-0.004474,-0.03242,1.001211,0.001095,-0.001306,0.006073,0.851506,-13.014496,33.450397
2020-05-15 11:00:54.731348,-0.004909,-0.031496,1.000358,0.00032,-0.00141,0.006018,0.879608,-13.769131,35.137184
2020-05-15 11:00:54.784132,-0.00435,-0.032297,1.000785,0.001047,-0.00092,0.006851,0.957748,-14.352491,36.539463
2020-05-15 11:00:54.836853,-0.005839,-0.031619,1.000967,0.001751,-0.002366,0.004999,0.909445,-14.864268,37.748013
2020-05-15 11:00:54.889670,-0.004598,-0.032482,1.00048,-0.000227,-0.001549,0.007342,0.922452,-15.252038,38.918182
2020-05-15 11:00:54.942463,-0.006893,-0.031372,1.001637,0.001405,-0.001497,0.005178,0.886316,-15.504795,39.489025
2020-05-15 11:00:54.995288,-0.006273,-0.031187,1.000906,-0.000857,-0.001595,0.003234,0.911405,-15.660574,40.410797
2020-05-15 11:00:55.048292,-0.003544,-0.03242,1.000906,0.000501,-0.001247,0.004307,1.193262,-15.825584,40.729191
2020-05-15 11:00:55.101264,-0.005839,-0.039016,0.947351,-0.001179,-0.001705,0.004154,1.323191,-15.881461,41.239529
2020-05-15 11:00:55.154102,-0.00156,-0.035256,0.991534,0.013327,-0.001796,0.005344,1.245775,-16.091705,41.251274
2020-05-15 11:00:55.206956,-0.006707,-0.030571,0.999567,-0.004832,-0.000998,0.007233,1.094259,-16.229614,41.587986
2020-05-15 11:00:55.259726,-0.016692,-0.002254,0.988065,-0.032572,-0.003622,0.010978,0.988381,-16.177643,42.137821
2020-05-15 11:00:55.312577,-0.006583,-0.027859,1.002123,0.000696,0.000928,0.004559,1.021881,-16.151487,42.135468
2020-05-15 11:00:55.365356,-0.024816,-0.033776,0.999081,0.004511,0.001045,0.010607,0.928787,-16.133028,42.476479
2020-05-15 11:00:55.418163,-0.005839,-0.037537,1.005288,-0.001102,-0.000467,0.002134,1.026987,-16.111513,42.603554
2020-05-15 11:00:55.471002,0.0714,-0.021139,1.000237,0.003175,0.006406,-0.013748,1.009234,-16.020796,42.590931
2020-05-15 11:00:55.523749,0.008114,-0.012265,0.997742,-0.001865,-0.000619,-0.000156,1.047967,-16.038969,42.368301
2020-05-15 11:00:55.576513,-0.098864,-0.001826,1.004801,-0.007057,0.004573,-0.004432,1.047928,-15.944351,41.930138
2020-05-15 11:00:55.629412,-0.176075,-0.042407,0.991169,0.022875,0.014652,0.00641,0.977321,-16.014565,41.556309
2020-05-15 11:00:55.682228,0.011982,0.027415,0.974311,0.003785,0.004115,-0.0026,0.823215,-16.139915,41.295338
2020-05-15 11:00:55.735137,0.083922,-0.039509,1.017703,0.008214,-0.00291,0.012825,0.759861,-16.33745,40.822681
2020-05-15 11:00:55.788011,0.020821,-0.107936,1.011009,0.0018,-0.00459,0.016337,0.741357,-16.508669,40.455666
2020-05-15 11:00:55.840891,0.069497,-0.017759,1.007722,-0.004919,-0.001841,-0.01833,0.541233,-16.641249,40.160824
2020-05-15 11:00:55.893611,0.030826,-0.021756,0.998594,0.004545,0.004568,0.006197,0.304705,-16.874392,39.276398
2020-05-15 11:00:55.946425,-0.099422,-0.103867,0.998715,-0.000647,0.006248,0.021316,0.216623,-17.063671,38.954197
2020-05-15 11:00:55.999246,0.092516,-0.093757,0.999081,-0.001716,-0.00322,0.008335,0.012936,-17.23317,38.368912
2020-05-15 11:00:56.052066,0.002285,-0.120265,1.017399,-0.008589,-0.000471,-0.00037,-0.034027,-17.475576,37.536053
2020-05-15 11:00:56.104854,-0.013963,-0.003169,0.98417,-3.6E-05,0.002888,0.003142,-0.037614,-17.691744,37.235634
2020-05-15 11:00:56.157693,-0.001063,-0.086976,1.00894,0.006072,-0.000929,0.013833,0.080723,-18.061062,36.217873
2020-05-15 11:00:56.210452,0.129468,-0.02829,1.029753,-0.005229,0.00014,-0.041603,0.207453,-18.296,35.261929
2020-05-15 11:00:56.263251,-0.076786,-0.020954,0.995003,-0.004618,0.004568,-0.003119,0.492966,-18.475187,34.718067
2020-05-15 11:00:56.315978,-0.01204,-0.021632,1.012348,0.006683,-0.000166,0.000546,0.632933,-18.835249,33.880695
2020-05-15 11:00:56.368705,0.060167,-0.048263,1.009731,-0.005992,0.003957,0.008182,0.898257,-19.087669,32.933449
2020-05-15 11:00:56.421528,0.04077,-0.027365,1.010704,0.006165,-0.005623,0.000528,1.20215,-19.269482,32.471176
2020-05-15 11:00:56.474336,0.082879,-0.025701,0.989769,0.002416,0.004456,-0.007609,1.612785,-19.361172,32.052338
2020-05-15 11:00:56.527086,-0.014335,-0.066818,0.999872,-0.008121,0.002471,-0.027004,2.077679,-19.632898,31.577003
2020-05-15 11:00:56.580059,-0.08522,-0.060222,0.999081,-0.003692,0.000943,0.003997,2.66019,-19.848619,31.431936
2020-05-15 11:00:56.632774,0.09982,-0.059914,1.009852,-0.00415,-0.003027,0.00583,3.228803,-19.946539,31.277699
2020-05-15 11:00:56.685598,-0.092538,0.116359,0.983501,0.00654,0.000638,0.017742,4.081395,-19.91485,31.081741
2020-05-15 11:00:56.738323,-0.025002,-0.101093,0.989647,0.006387,0.001402,-0.001653,4.819783,-20.004013,30.633995
2020-05-15 11:00:56.791198,0.039604,-0.092709,1.024215,0.027309,0.000485,0.033014,5.779271,-19.872339,30.908373
2020-05-15 11:00:56.843919,0.079318,-0.074092,1.04016,-0.011393,-0.001745,0.009769,6.753877,-19.697607,31.153137
2020-05-15 11:00:56.896717,-0.12243,0.002935,0.988065,-0.007423,0.01261,-0.010389,7.609592,-19.542593,31.644838
2020-05-15 11:00:56.949432,0.000115,0.015816,1.037847,0.020677,-0.002814,0.004424,8.245892,-19.174833,32.75695
2020-05-15 11:00:57.002258,0.282802,-0.345825,1.029449,-0.010935,0.0036,-0.020927,8.712698,-18.8727,33.626732
2020-05-15 11:00:57.055018,-0.106244,-0.019413,0.993725,-0.003757,0.000545,0.017863,9.127936,-18.49423,34.454792
2020-05-15 11:00:57.107801,0.056607,-0.035687,1.021963,0.006016,-0.000829,0.006104,9.503767,-18.025522,35.318813
2020-05-15 11:00:57.160572,0.046479,-0.054489,0.992447,-0.000827,0.003184,0.012101,9.891538,-17.590725,36.191677
2020-05-15 11:00:57.213604,0.075206,-0.084449,0.964696,0.014849,0.000569,0.014945,9.766018,-17.031719,37.326714
2020-05-15 11:00:57.266376,-0.116973,0.124112,1.024398,-0.041962,-0.008289,0.005171,9.542223,-16.547611,38.424633
2020-05-15 11:00:57.319205,-0.111701,0.071612,1.032674,0.026913,0.002707,-0.012849,9.507804,-16.097752,39.504211
2020-05-15 11:00:57.371949,0.030642,-0.056215,0.999263,0.0402,0.007899,0.00792,9.196091,-15.627928,40.685719
2020-05-15 11:00:57.424784,0.058019,-0.08673,1.089212,-0.037839,-0.001722,0.038311,8.621967,-15.119182,41.631191
2020-05-15 11:00:57.477492,-0.059297,0.069231,1.019285,-0.012335,-0.000958,0.025177,8.170777,-14.560304,42.764378
2020-05-15 11:00:57.530261,0.196559,-0.16391,1.031579,0.000341,-0.001722,-0.007046,7.422879,-14.213955,43.514725
2020-05-15 11:00:57.583022,0.010201,-0.155279,1.026528,-0.018902,0.000416,-0.003992,6.944771,-14.010981,44.327919
2020-05-15 11:00:57.635874,-0.022459,-0.096655,0.999446,0.036229,0.007746,-0.011322,6.6033,-13.827796,44.983585
2020-05-15 11:00:57.688718,0.099513,-0.149176,1.009305,0.006296,0.002707,0.00624,6.174471,-13.867775,45.588963
2020-05-15 11:00:57.741582,-0.050987,-0.065894,1.018738,-0.030508,-0.0005,0.016472,5.571315,-13.983235,46.08535
2020-05-15 11:00:57.794508,-0.028227,-0.060839,0.961044,0.022026,0.008205,0.003186,5.060009,-14.314301,46.67696
2020-05-15 11:00:57.847350,0.05274,0.046583,1.034622,-0.045627,0.005761,0.016014,4.596617,-14.462482,46.957001
2020-05-15 11:00:57.900140,0.049548,-0.025393,1.005714,0.014696,-0.0005,-0.000937,4.17047,-14.796996,47.132782
2020-05-15 11:00:57.952915,0.052371,-0.022126,1.027988,-0.015614,0.005569,0.01238,3.800354,-14.974407,47.590584
2020-05-15 11:00:58.005682,-0.025312,-0.028167,1.001332,0.01554,-0.00283,0.006272,3.509037,-15.049887,47.632381
2020-05-15 11:00:58.058443,0.100986,-0.031496,1.005897,0.001643,-0.004205,0.003676,3.227005,-15.112919,47.724197
2020-05-15 11:00:58.111162,0.028739,-0.03766,1.002123,-0.030886,-0.000387,-0.011443,2.872371,-15.161483,47.87315
2020-05-15 11:00:58.164000,-0.059793,-0.019228,0.995612,-0.030275,7.1E-05,0.011464,2.752118,-14.996473,47.980568
2020-05-15 11:00:58.216754,-0.152447,0.021798,0.981127,0.034629,0.001751,0.017267,2.694391,-14.964712,48.022686
2020-05-15 11:00:58.269562,0.04967,-0.048756,1.004558,0.038294,0.006638,-0.045652,2.550654,-14.909293,48.284657
2020-05-15 11:00:58.322387,0.295754,-0.102264,0.977841,-0.02661,-0.001303,-0.008694,2.209101,-14.939399,48.418308
2020-05-15 11:00:58.375467,0.023215,-0.026009,1.004253,-0.010575,-0.005885,0.007188,2.233463,-14.974272,48.493458
2020-05-15 11:00:58.428178,0.008176,-0.026749,1.001758,-0.007713,-0.002884,0.000453,2.107103,-15.196118,48.47773
2020-05-15 11:00:58.481007,0.03543,-0.026071,1.004314,-0.004651,0.000903,0.001176,2.060091,-15.274833,48.208843
2020-05-15 11:00:58.533867,-0.163796,-0.024221,1.016608,-0.020228,0.008844,0.014309,1.830459,-15.393564,48.37719
2020-05-15 11:00:58.586686,-0.050553,-0.014585,0.995368,0.011385,-0.003678,0.002856,1.866337,-15.542253,48.319389
2020-05-15 11:00:58.639396,0.693944,0.123623,0.925807,0.005429,-0.003984,-0.001115,1.756034,-15.61929,48.240929
2020-05-15 11:00:58.692129,0.001107,-0.025146,0.988674,-0.007247,0.00411,0.004841,1.625024,-15.759261,48.160648
2020-05-15 11:00:58.744966,0.000983,-0.026626,0.99762,-0.009515,0.006483,0.008223,1.240807,-16.013712,47.759724
2020-05-15 11:00:58.797755,-0.000381,-0.027735,1.000906,0.005122,-0.008053,0.002339,1.264557,-16.284155,47.863071
2020-05-15 11:00:58.850461,0.001479,-0.028722,0.996038,-0.001397,-0.003208,0.004475,1.110207,-16.215149,47.898121
2020-05-15 11:00:58.903299,0.000921,-0.029523,1.01107,0.032899,-0.007382,4.5E-05,0.953494,-16.194616,47.653091
2020-05-15 11:00:58.956066,-0.006025,-0.005062,1.053914,0.002573,9.7E-05,-0.000252,0.957133,-16.07374,47.761265
2020-05-15 11:00:59.008874,0.001789,-0.036489,1.029753,-0.038996,0.00969,-0.006001,1.16156,-16.039066,47.959473
2020-05-15 11:00:59.061574,-0.012971,-0.02003,1.030666,0.008511,-0.002443,-0.004472,1.234243,-16.398697,47.970219
2020-05-15 11:00:59.114281,-0.0028,-0.029338,0.999446,0.019299,0.001476,0.004534,1.233078,-16.249256,48.302269
2020-05-15 11:00:59.167019,-0.008878,-0.036427,0.993421,0.045524,0.000246,-0.026913,1.190354,-16.266466,48.435669
2020-05-15 11:00:59.219775,0.08515,-0.063428,0.995368,-0.024879,-0.009375,-0.585397,1.134684,-16.250647,48.492027
2020-05-15 11:00:59.272578,-0.053468,-0.018553,1.005105,-0.014494,-0.015636,-1.27033,0.895731,-16.22784,48.466995
2020-05-15 11:00:59.325338,-0.020909,0.027293,1.004679,0.078358,9.4E-05,-0.998953,0.776027,-16.552845,48.469727
2020-05-15 11:00:59.378115,-0.014893,0.030955,0.999081,0.027045,-0.002961,-0.787135,0.279603,-16.815672,48.226543
2020-05-15 11:00:59.430946,-0.003172,-0.034824,0.998837,-0.046564,-0.007695,-0.073034,-0.321264,-17.025522,48.136475
2020-05-15 11:00:59.483774,0.009281,-0.096901,1.023911,-0.06092,-0.006168,-0.046766,-0.629027,-17.144197,48.222736
2020-05-15 11:00:59.536525,-0.022025,-0.05825,0.99622,0.010704,-0.004946,-0.113656,-1.137365,-17.265284,48.259186
2020-05-15 11:00:59.589247,0.018304,0.000799,1.003462,0.016202,-0.001128,-0.368234,-1.519405,-17.262421,47.942581
2020-05-15 11:00:59.655368,0.000301,-0.049373,1.002489,-0.016479,-0.00571,-0.156111,-1.921527,-17.346678,47.721226
2020-05-15 11:00:59.708091,0.040954,-0.055907,1.010644,-0.00075,-0.003419,-0.463682,-2.24122,-17.379297,47.595467
2020-05-15 11:00:59.760922,-0.024444,-0.158177,1.012104,0.022005,-0.016705,-1.387768,-2.659207,-17.313457,47.83952
2020-05-15 11:00:59.813733,-0.066801,0.125394,0.988004,0.123714,-0.002197,-3.215324,-3.231209,-17.501717,47.927849
2020-05-15 11:00:59.866558,0.133397,0.06392,1.021963,-0.014036,-0.012277,-2.283908,-4.414555,-17.357733,48.223759
2020-05-15 11:00:59.919344,0.017874,-0.026256,0.98557,0.014369,0.000552,-0.263013,-5.588573,-17.031874,48.816696
2020-05-15 11:00:59.972114,-0.019979,-0.0003,0.998837,0.001083,-0.009986,-0.623271,-6.699862,-16.646427,48.526466
2020-05-15 11:01:00.027263,-0.051173,-0.019598,0.999324,-0.003651,-0.001128,-0.305162,-7.713044,-16.363255,48.646145
2020-05-15 11:01:00.080030,-0.011234,-0.035503,0.993908,0.037363,0.005257,-0.039155,-8.465585,-16.156801,48.791382
2020-05-15 11:01:00.132851,-0.002552,-0.023913,1.015573,-0.03371,-0.002594,-0.00552,-9.139903,-16.05055,48.966141
2020-05-15 11:01:00.185682,0.000239,0.016854,0.99695,-0.046843,-0.003664,-0.310952,-9.646662,-15.929343,48.789597
2020-05-15 11:01:00.238402,-0.002428,-0.023975,1.006749,0.013916,-0.004722,0.003965,-9.995469,-15.843543,48.328045
