Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-15 10:33:06.318068,0.010324,-1.023121,-0.001192,-0.003053,0.008022,-0.007384,2.068392,-8.638251,-3.519187
2020-05-15 10:33:06.370983,0.008605,-1.022011,0.001957,-0.017418,0.005392,-0.00699,3.847404,-15.588851,-6.148549
2020-05-15 10:33:06.424056,0.009465,-1.018559,0.006802,0.017707,0.009051,-0.00971,5.320597,-21.144213,-8.758527
2020-05-15 10:33:06.477054,0.010692,-1.022504,-0.003675,0.043394,0.008602,-0.008205,6.384333,-25.643623,-10.585323
2020-05-15 10:33:06.529850,0.009894,-1.024354,-0.005128,0.002236,0.00861,-0.00557,7.153131,-29.019722,-12.009961
2020-05-15 10:33:06.582580,0.009526,-1.018744,0.002502,-0.053493,-0.001125,-0.004351,7.700616,-31.975164,-13.056542
2020-05-15 10:33:06.635369,-0.001125,-1.024415,-0.004825,0.000697,-0.007288,-0.007601,8.19991,-34.200565,-14.107903
2020-05-15 10:33:06.688115,0.004084,-1.027189,-0.006824,-0.009512,-0.006159,-0.007495,8.614065,-35.904831,-14.66312
2020-05-15 10:33:06.740926,0.02211,-1.023984,0.005046,-0.045659,0.006152,-0.006064,8.824287,-37.365292,-15.12293
2020-05-15 10:33:06.793644,0.016524,-1.023861,0.0022,-0.041775,0.003289,-0.006453,9.194613,-38.649769,-15.692282
2020-05-15 10:33:06.846479,0.004952,-1.024169,-0.000223,-0.024734,0.004656,-0.004319,9.438882,-39.776794,-15.969709
2020-05-15 10:33:06.899247,-0.001374,-1.024292,0.03618,-0.293515,0.210976,-0.003708,9.637915,-40.401833,-16.111561
2020-05-15 10:33:06.951974,0.027818,-1.021333,0.030642,-0.051516,0.027087,-0.00447,9.675132,-41.070854,-15.850211
2020-05-15 10:33:07.004699,0.014437,-1.022011,0.028816,0.016633,-0.047628,-0.006535,9.654696,-41.657963,-16.037191
2020-05-15 10:33:07.057437,0.015173,-1.01745,0.031312,0.104359,-0.024783,-0.00676,9.741338,-41.918468,-15.920255
2020-05-15 10:33:07.110145,0.012411,-1.013443,0.009164,0.204541,0.008662,-0.00676,9.667421,-42.199795,-15.856637
2020-05-15 10:33:07.162869,-0.00156,-1.028731,-0.018815,0.361686,-0.133822,-0.00508,9.907882,-42.478832,-16.225832
2020-05-15 10:33:07.215727,-0.005777,-1.058197,-0.053153,0.190186,-0.068154,-0.005386,9.944164,-42.525688,-16.389601
2020-05-15 10:33:07.268443,0.058755,-1.004073,0.018957,-0.094936,-0.168031,0.008206,9.844473,-42.540173,-16.703606
2020-05-15 10:33:07.321423,0.016585,-1.03021,0.000686,0.488135,0.713448,0.053257,9.507339,-42.837334,-17.019432
2020-05-15 10:33:07.374248,0.099268,-0.875049,0.205671,-1.085148,-0.358468,-0.040205,9.599861,-42.904003,-17.129787
2020-05-15 10:33:07.427080,0.046786,-1.016278,0.00226,0.026168,0.00347,-0.001873,9.681937,-43.003864,-17.224627
2020-05-15 10:33:07.480066,0.011552,-1.024292,-0.024084,0.040206,0.007635,-0.00373,9.841993,-42.979523,-17.29014
2020-05-15 10:33:07.532937,0.011122,-1.025957,-0.016635,0.002255,0.007381,-0.006411,9.939177,-42.856613,-17.596642
2020-05-15 10:33:07.585670,0.010263,-1.024169,-0.021419,-0.001068,0.006101,-0.003835,10.114548,-42.853451,-17.529259
2020-05-15 10:33:07.638411,0.011245,-1.028422,-0.02911,0.035431,0.007374,-0.002083,10.258974,-42.931602,-17.461002
2020-05-15 10:33:07.691296,0.010631,-1.023121,-0.014152,-0.001033,0.005209,-0.005262,10.278543,-43.031273,-17.701935
2020-05-15 10:33:07.744090,0.010692,-1.023676,-0.021782,-0.001441,0.007398,-0.002281,10.311357,-43.09808,-17.567221
2020-05-15 10:33:07.796928,0.010754,-1.022258,-0.015787,0.002445,0.006413,-0.004567,10.235822,-43.036572,-17.453003
2020-05-15 10:33:07.849707,0.011613,-1.028546,-0.018936,0.003692,0.005018,-0.003234,10.326385,-43.183392,-17.863134
2020-05-15 10:33:07.902479,0.019838,-1.013381,-0.066537,-0.059838,0.003186,-0.004456,10.548219,-43.272388,-17.897137
2020-05-15 10:33:07.955363,0.011245,-1.019607,-0.003251,-0.001042,0.007156,-0.005677,10.426695,-43.180698,-17.557613
2020-05-15 10:33:08.008175,0.012902,-1.023676,-0.01506,0.015379,0.006622,-0.003421,10.186319,-43.310711,-17.849176
2020-05-15 10:33:08.061151,0.008667,-1.02571,-0.027838,0.023724,0.007287,-0.002126,10.052242,-43.25346,-17.619621
2020-05-15 10:33:08.114103,0.010386,-1.024107,-0.015302,0.014666,0.00734,-0.002056,9.954868,-43.22644,-17.571697
2020-05-15 10:33:08.166975,0.011122,-1.022813,-0.014454,-0.003833,0.005767,-0.002725,9.993235,-43.055199,-17.445042
2020-05-15 10:33:08.219987,0.011429,-1.023614,-0.015302,0.007072,0.004393,-0.00662,10.01791,-43.046661,-17.648235
2020-05-15 10:33:08.272725,0.008053,-1.024477,-0.022267,0.00285,0.00469,-0.002709,9.944784,-42.896576,-17.801359
2020-05-15 10:33:08.325486,0.010938,-1.021826,-0.012759,-0.017913,0.004091,-0.000847,9.877364,-42.769371,-17.800276
2020-05-15 10:33:08.378262,0.010754,-1.024354,-0.015423,-0.001962,0.00484,-0.003476,9.950542,-42.796398,-17.935925
2020-05-15 10:33:08.431347,0.008667,-1.02534,-0.026324,-0.004702,0.004974,-0.003951,10.005721,-42.82259,-17.90605
2020-05-15 10:33:08.484039,0.011061,-1.021888,-0.012153,0.004312,0.004365,-0.003376,9.998404,-42.88649,-17.845051
2020-05-15 10:33:08.536931,0.010079,-1.024107,-0.015968,-0.002475,0.00422,-0.003264,10.044396,-42.866455,-17.908342
2020-05-15 10:33:08.589681,0.01192,-1.023676,-0.012335,0.004989,0.002898,-0.003598,10.259585,-43.019783,-17.745234
