Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Mag(1),Mag(2),Mag(3)
2020-05-15 10:45:50.749372,0.011245,-1.024415,0.03545,-0.003017,-0.001478,0.006379,1.786692,-9.053355,-2.579651
2020-05-15 10:45:50.802308,0.012166,-1.024107,0.035389,0.000479,-0.000986,0.0072,3.112498,-16.251387,-4.823844
2020-05-15 10:45:50.855050,0.011061,-1.024292,0.030886,0.025855,-0.001986,0.004893,4.151628,-21.864008,-6.512337
2020-05-15 10:45:50.907872,0.011675,-1.025094,0.031372,0.033407,-0.000444,0.003401,5.014127,-26.357077,-8.038383
2020-05-15 10:45:50.960618,0.011368,-1.023244,0.031433,0.038642,-0.000134,0.003878,5.506576,-29.964464,-9.362509
2020-05-15 10:45:51.013354,0.011736,-1.028607,0.018957,0.043259,0.001642,0.004192,6.012914,-32.814259,-10.144746
2020-05-15 10:45:51.066059,0.011613,-1.022566,0.028695,-0.027715,-0.001365,0.0042,6.437975,-35.015518,-10.893785
2020-05-15 10:45:51.118841,0.011306,-1.024847,0.025834,-0.034763,0.000747,0.003469,7.090945,-36.885769,-11.495819
2020-05-15 10:45:51.171585,0.011859,-1.023306,0.032711,-0.066229,-0.000754,0.003206,7.22099,-38.193314,-11.938952
2020-05-15 10:45:51.224276,0.009588,-1.016771,0.045248,-0.000543,-0.001319,0.002361,7.281341,-39.366959,-11.96846
2020-05-15 10:45:51.277036,0.011675,-1.024724,0.027356,0.033134,-0.00098,0.006416,7.631887,-40.41172,-12.403575
2020-05-15 10:45:51.329795,0.012841,-1.028916,0.021757,0.019924,-0.003014,0.004135,7.775753,-41.227642,-12.627724
2020-05-15 10:45:51.382500,0.010877,-1.013689,0.059367,-0.067101,-0.003947,0.019351,7.898932,-41.754028,-12.779273
2020-05-15 10:45:51.435256,0.008728,-1.021765,0.02693,-0.022791,-0.001453,0.004386,8.140645,-42.212742,-13.036782
2020-05-15 10:45:51.488019,0.012411,-1.022998,0.042631,-0.125369,0.000957,0.004387,8.371263,-42.522243,-12.969659
2020-05-15 10:45:51.540778,0.014253,-1.022874,0.040988,-0.003385,-0.000994,0.006603,8.339885,-42.798122,-12.89258
2020-05-15 10:45:51.593519,0.011797,-1.018867,0.017314,0.102871,-0.004504,0.004464,8.529577,-42.95763,-13.085602
2020-05-15 10:45:51.646250,-0.023265,-1.027436,0.044457,-0.01423,-0.048199,0.002248,8.700751,-43.142483,-13.051464
2020-05-15 10:45:51.699081,0.013577,-1.023737,0.033563,0.000121,0.001386,0.000402,8.786872,-43.333519,-13.011131
2020-05-15 10:45:51.751845,0.012411,-1.02195,0.039223,0.016946,0.000307,0.001865,8.799093,-43.363255,-13.096819
2020-05-15 10:45:51.804601,0.015235,-1.03021,0.016462,0.124148,-0.003689,0.000769,8.834736,-43.544163,-13.212276
2020-05-15 10:45:51.857392,0.011245,-1.023799,0.025347,-0.020677,0.001601,0.002367,8.823802,-43.44809,-13.725936
2020-05-15 10:45:51.910202,0.012964,-1.024169,0.010924,0.007913,0.001843,0.001255,8.656243,-43.611965,-13.617252
2020-05-15 10:45:51.963182,0.013516,-1.024847,0.026443,-0.017152,0.001486,0.003723,8.781213,-43.591232,-13.647132
2020-05-15 10:45:52.015946,0.009097,-1.02571,0.012019,-0.032081,0.001584,5.6E-05,8.81075,-43.710701,-13.922829
2020-05-15 10:45:52.068677,0.011552,-1.023367,0.037093,-0.120325,-0.003783,0.002564,8.91651,-43.839802,-14.178817
