Time, AccX, AccY, AccZ, GyrX, GyrY, GyrZ, Mag(1), Mag(2), Mag(3)
2020-05-15 10:47:25.064463, 0.012534, -1.024662, 0.008740, 0.061735, -0.001172, 0.015695, 2.188171, -9.538234, -2.133316
2020-05-15 10:47:25.117355, 0.012902, -1.026018, 0.018592, -0.007936, 0.000491, 0.008971, 4.121031, -16.921459, -4.059397
2020-05-15 10:47:25.170184, 0.012534, -1.026018, 0.016158, -0.007228, 0.000474, 0.008525, 5.537211, -22.871155, -5.386716
2020-05-15 10:47:25.222943, 0.013332, -1.024970, 0.015062, -0.001968, 0.000901, 0.008979, 6.609931, -27.761751, -6.697583
2020-05-15 10:47:25.275731, 0.013148, -1.027559, 0.013115, -0.007069, -0.001048, 0.007203, 7.264859, -31.673973, -7.659859
2020-05-15 10:47:25.328426, 0.013455, -1.023676, 0.022730, -0.032225, -0.001013, 0.005930, 7.848900, -34.617634, -8.496044
2020-05-15 10:47:25.381124, 0.030826, -0.992791, 0.030094, 0.199293, -0.002235, 0.022728, 8.342896, -37.005302, -9.511765
2020-05-15 10:47:25.433843, 0.016524, -1.036621, -0.043342, 0.499533, -0.003914, -0.025377, 8.762486, -38.944530, -10.183829
2020-05-15 10:47:25.486652, 0.028616, -1.052032, 0.015914, -0.046733, -0.002235, 0.019521, 9.169154, -40.425251, -10.755875
2020-05-15 10:47:25.539356, 0.037210, -1.007648, -0.102873, 0.401184, -0.002693, 0.016620, 9.441729, -41.653782, -11.326755
2020-05-15 10:47:25.592128, 0.012657, -1.029717, 0.046891, -0.317958, -0.003762, 0.015245, 9.776856, -42.487244, -11.725239
2020-05-15 10:47:25.644862, 0.023460, -1.028114, -0.017483, 0.309554, 0.011204, 0.065183, 10.084607, -43.091660, -11.873173
2020-05-15 10:47:25.697763, 0.017813, -1.019299, -0.073319, -0.269088, -0.000249, -0.013771, 10.243512, -43.578289, -12.287034
2020-05-15 10:47:25.750471, -0.027483, -0.997661, -0.000223, -0.865598, 0.007387, -0.012702, 10.395480, -44.128613, -12.415419
2020-05-15 10:47:25.803194, 0.007991, -1.019607, 0.018775, 0.025094, -0.003489, 0.013851, 10.418072, -44.460419, -11.796039
2020-05-15 10:47:25.855973, 0.014253, -1.032491, 0.033016, -0.013977, 0.000171, 0.000989, 10.439729, -44.717133, -11.658442
2020-05-15 10:47:25.908882, 0.021434, -1.028176, -0.002403, 0.111380, 0.000903, 0.020443, 10.569599, -45.004086, -11.633041
2020-05-15 10:47:25.961768, 0.008605, -1.036005, 0.075251, -0.116625, -0.004442, -0.008879, 10.689193, -45.292557, -11.682717
2020-05-15 10:47:26.014573, 0.019286, -1.018559, 0.023400, 0.199192, 0.000445, 0.016625, 10.585608, -45.413830, -11.617312
2020-05-15 10:47:26.067350, 0.010079, -1.024354, -0.004583, 0.373899, -0.002457, 0.008684, 10.491412, -45.409466, -11.954928
2020-05-15 10:47:26.120224, 0.022478, -1.025587, -0.074591, 0.357711, 0.001361, 0.041518, 10.531326, -45.559319, -12.665155
2020-05-15 10:47:26.173046, 0.017997, -1.022320, -0.075197, -0.117905, -0.004884, -0.003711, 10.677443, -45.534565, -13.054781
2020-05-15 10:47:26.225904, 0.018856, -1.021580, -0.026748, -0.679137, -0.108884, -0.020663, 10.826791, -45.265854, -12.914412
2020-05-15 10:47:26.278659, 0.045681, -1.039519, 0.003169, -0.281769, -0.021378, -0.033185, 11.087669, -45.300457, -12.822581
2020-05-15 10:47:26.331480, 0.009588, -1.024292, 0.003229, 0.137875, 0.005317, 0.013980, 11.262516, -45.290298, -12.546480
2020-05-15 10:47:26.384203, 0.025486, -1.018436, 0.009285, 0.460412, 0.318233, 0.094156, 11.212673, -45.328781, -12.251897
2020-05-15 10:47:26.436993, -0.011234, -1.018498, -0.002706, 0.136653, -0.005526, -0.087118, 11.308661, -45.284321, -12.518401
2020-05-15 10:47:26.489703, 0.008667, -1.023676, 0.115418, 0.138333, 0.002568, -0.000986, 11.197165, -45.207954, -12.494909
2020-05-15 10:47:26.542595, 0.007371, -1.027251, -0.084039, 0.255619, -0.000181, 0.003443, 11.136584, -45.161766, -12.729579
2020-05-15 10:47:26.595363, 0.017199, -1.019299, -0.046612, 0.059466, -0.000027, 0.002737, 11.233713, -45.197208, -13.071941
2020-05-15 10:47:26.648239, 0.014007, -1.018498, -0.059088, 0.007144, -0.000764, 0.003384, 11.334841, -44.978020, -13.152176
2020-05-15 10:47:26.700980, 0.006193, -1.016771, -0.043463, -0.230025, -0.004430, -0.003030, 11.308193, -45.033035, -13.263382
2020-05-15 10:47:26.753844, 0.010631, -1.026142, -0.053213, -0.230025, -0.032224, 0.007660, 11.257481, -45.178101, -13.226010
2020-05-15 10:47:26.806688, 0.015296, -1.021826, -0.009004, -0.498500, -0.096518, -0.005015, 11.130651, -45.179943, -13.175032
2020-05-15 10:47:26.859510, 0.014314, -1.023737, 0.000322, -0.058936, -0.002953, 0.001943, 11.405853, -45.302635, -12.717738
2020-05-15 10:47:26.912210, 0.012104, -1.025525, 0.008982, 0.009165, 0.084244, 0.001435, 11.336666, -45.387020, -12.642111
2020-05-15 10:47:26.965079, 0.011859, -1.024539, -0.026809, 0.133013, 0.077893, 0.008473, 11.328919, -45.357891, -12.383647
2020-05-15 10:47:27.017893, 0.012902, -1.025648, -0.011063, -0.142166, -0.004716, 0.000662, 11.505990, -45.247643, -12.292225
2020-05-15 10:47:27.070606, 0.013884, -1.024847, 0.005470, -0.160014, -0.003083, -0.002017, 11.426908, -45.266911, -12.042777
2020-05-15 10:47:27.123439, 0.012350, -1.020532, 0.018044, -0.043371, -0.006966, 0.000412, 11.344278, -45.332767, -11.803988
2020-05-15 10:47:27.176237, 0.013455, -1.024292, 0.021392, 0.067761, -0.000681, 0.005565, 11.464662, -45.286789, -11.674173
2020-05-15 10:47:27.228945, 0.013516, -1.024724, 0.013723, 0.076574, -0.002430, 0.003460, 11.441229, -45.347500, -11.637120
2020-05-15 10:47:27.281821, 0.007495, -1.031258, -0.014031, -0.011011, -0.004121, -0.001231, 11.337601, -45.346077, -11.704184
2020-05-15 10:47:27.334571, -0.003358, -1.027991, 0.006197, -0.119001, -0.004426, 0.009439, 11.283078, -45.524109, -11.651587
2020-05-15 10:47:27.387440, 0.029782, -1.023491, 0.013967, -0.055541, -0.006493, 0.003219, 11.215052, -45.431911, -11.177137
2020-05-15 10:47:27.440205, -0.039576, -1.025525, 0.020114, -0.041339, 0.004655, -0.001210, 11.066933, -45.452713, -11.057497
2020-05-15 10:47:27.492954, 0.031747, -1.025155, 0.020661, 0.005240, -0.009700, 0.003525, 11.098623, -45.359028, -11.277613
