Time,Acc X,Acc Y,Acc Z,Ang Acc X,Ang Acc Y,Ang Acc Z,Disp X,Disp Y,Disp Z,Rot X,Rot Y,Rot z,Vel X,Vel Y,Vel Z,Ang Vel X,Ang Vel Y,Ang Vel Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,6.00E-07,0,0,-0.00013529,0,0,1.00E-13,0,0,5.48E-05,0,0,3.00E-10,0,0,0.0548311,0,0
0.002,1.20E-06,0,0,-0.00027058,0,0,8.00E-13,0,0,0.000109662,0,0,1.20E-09,0,0,0.0548309,0,0
0.003,1.80E-06,0,0,-0.00040587,0,0,2.70E-12,0,0,0.000164493,0,0,2.70E-09,0,0,0.0548305,0,0
0.00425,2.55E-06,0,0,-0.00057498,0,0,7.68E-12,0,0,0.000233031,0,0,5.42E-09,0,0,0.0548299,0,0
0.0058125,3.49E-06,0,0,-0.000786365,0,0,1.96E-11,0,0,0.000318702,0,0,1.01E-08,0,0,0.0548288,0,0
0.00776563,4.66E-06,0,0,-0.00105059,0,0,4.68E-11,0,0,0.000425787,0,0,1.81E-08,0,0,0.0548271,0,0
0.010207,6.12E-06,0,0,-0.00138085,0,0,1.06E-10,0,0,0.000559639,0,0,3.12E-08,0,0,0.0548241,0,0
0.0132588,7.95E-06,0,0,-0.00179366,0,0,2.33E-10,0,0,0.000726942,0,0,5.27E-08,0,0,0.0548192,0,0
0.0170735,1.02E-05,0,0,-0.0023096,0,0,4.98E-10,0,0,0.000936046,0,0,8.74E-08,0,0,0.0548114,0,0
0.0218419,1.31E-05,0,0,-0.00295441,0,0,1.04E-09,0,0,0.00119738,0,0,1.43E-07,0,0,0.0547989,0,0
0.0278023,1.67E-05,0,0,-0.00376019,0,0,2.15E-09,0,0,0.00152395,0,0,2.32E-07,0,0,0.0547789,0,0
0.0352529,2.11E-05,0,0,-0.00476694,0,0,4.38E-09,0,0,0.00193197,0,0,3.73E-07,0,0,0.0547471,0,0
0.0445661,2.67E-05,0,0,-0.00602445,0,0,8.85E-09,0,0,0.00244162,0,0,5.95E-07,0,0,0.0546968,0,0
0.0562077,3.37E-05,0,0,-0.00759448,0,0,1.77E-08,0,0,0.00307793,0,0,9.47E-07,0,0,0.0546176,0,0
0.0707596,4.24E-05,0,0,-0.00955339,0,0,3.54E-08,0,0,0.00387184,0,0,1.50E-06,0,0,0.0544928,0,0
0.0889495,5.32E-05,0,0,-0.0119949,0,0,7.03E-08,0,0,0.00486135,0,0,2.37E-06,0,0,0.0542968,0,0
0.111687,6.68E-05,0,0,-0.0150328,0,0,1.39E-07,0,0,0.00609255,0,0,3.73E-06,0,0,0.0539895,0,0
0.140109,8.37E-05,0,0,-0.0188027,0,0,2.74E-07,0,0,0.00762044,0,0,5.87E-06,0,0,0.0535086,0,0
0.175636,1.05E-04,0,0,-0.0234615,0,0,5.40E-07,0,0,0.0095086,0,0,9.22E-06,0,0,0.0527576,0,0
0.220045,0.000131156,0,0,-0.0291807,0,0,1.06E-06,0,0,0.0118265,0,0,1.45E-05,0,0,0.0515883,0,0
0.275556,0.000163969,0,0,-0.0361268,0,0,2.08E-06,0,0,0.0146417,0,0,2.27E-05,0,0,0.0497745,0,0
0.344945,0.00020483,0,0,-0.0444175,0,0,4.08E-06,0,0,0.0180017,0,0,3.55E-05,0,0,0.0469773,0,0
0.431681,0.000255664,0,0,-0.0540285,0,0,7.99E-06,0,0,0.0218969,0,0,5.54E-05,0,0,0.0427012,0,0
0.531681,0.000313938,0,0,-0.0638562,0,0,1.49E-05,0,0,0.0258799,0,0,8.39E-05,0,0,0.0367948,0,0
0.631681,0.000371856,0,0,-0.0721115,0,0,2.50E-05,0,0,0.0292257,0,0,0.000118199,0,0,0.0299824,0,0
0.731681,0.000429419,0,0,-0.0785911,0,0,3.87E-05,0,0,0.0318518,0,0,0.000158265,0,0,0.0224318,0,0
0.831681,0.000486627,0,0,-0.0831356,0,0,5.68E-05,0,0,0.0336936,0,0,0.000204071,0,0,0.0143288,0,0
