Time, AccX(g), AccY(g), AccZ(g), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X, Y, Z, Vx, Vy, Vz, AccX, AccY, AccZ, RollAcc, PitchAcc
0.000000, 0.023261, 0.018717, 5.872427, -0.007051, 0.002756, 0.004128, 0.182560, 0.226956, 0.226956, 95.141303, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.038769, 0.031196, 9.787378, 0.182620, 0.226954
0.050000, 0.030412, 0.026923, 8.220680, -0.005829, -0.001367, 0.005960, 0.177172, 0.217286, 0.217286, 93.332447, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.035179, 0.032393, 9.786181, 0.187641, 0.211959
0.100000, 0.034708, 0.030205, 9.164289, -0.005066, 0.000160, 0.008862, 0.173746, 0.217180, 0.217180, 98.170508, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.037572, 0.032393, 9.793362, 0.188839, 0.216995
0.150000, 0.033554, 0.033672, 9.537424, -0.009189, 0.004588, 0.004128, 0.169961, 0.219087, 0.219087, 96.174214, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.032785, 0.035983, 9.786181, 0.202280, 0.201574
0.200000, 0.035247, 0.031468, 9.685960, -0.004608, 0.002603, 0.006877, 0.172404, 0.217864, 0.217864, 98.642803, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.036375, 0.029999, 9.784985, 0.186143, 0.208496
0.250000, 0.038078, 0.030587, 9.745375, -0.007204, -0.002131, 0.007335, 0.168087, 0.213654, 0.213654, 100.189923, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.039966, 0.029999, 9.784985, 0.179825, 0.223871
0.300000, 0.037775, 0.032388, 9.770577, -0.008273, 0.003367, 0.005808, 0.167928, 0.220800, 0.220800, 97.064042, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.037572, 0.033589, 9.787378, 0.189927, 0.221513
0.350000, 0.039089, 0.035263, 9.779221, -0.006593, -0.000146, 0.005044, 0.177938, 0.221580, 0.221580, 99.191014, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.039966, 0.037180, 9.784985, 0.206602, 0.229020
0.400000, 0.037461, 0.034977, 9.784834, -0.005219, 0.002145, 0.004586, 0.187743, 0.223546, 0.223546, 98.130102, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.036375, 0.034786, 9.788575, 0.204808, 0.219353
0.450000, 0.037528, 0.035581, 9.788515, -0.006440, 0.000618, 0.007793, 0.193643, 0.221870, 0.221870, 98.615648, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.037572, 0.035983, 9.790969, 0.208264, 0.219662
0.500000, 0.036836, 0.032232, 9.791423, -0.007662, 0.000160, 0.003670, 0.189847, 0.218501, 0.218501, 93.930176, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.036375, 0.029999, 9.793362, 0.188606, 0.215551
0.550000, 0.032969, 0.033046, 9.794741, -0.000179, 0.002603, 0.005808, 0.203865, 0.214753, 0.214753, 99.436148, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.030391, 0.033589, 9.796953, 0.193308, 0.192857
0.600000, 0.033577, 0.034090, 9.797504, -0.004150, -0.004269, 0.005960, 0.207252, 0.198075, 0.198075, 96.065887, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.033982, 0.034786, 9.799346, 0.199358, 0.196355
0.650000, 0.035256, 0.035226, 9.797173, -0.009953, -0.001367, 0.006724, 0.198849, 0.194197, 0.194197, 97.729750, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.036375, 0.035983, 9.796953, 0.206006, 0.206182
0.700000, 0.035210, 0.035680, 9.797041, -0.007509, -0.000298, 0.005502, 0.198471, 0.193631, 0.193631, 97.893344, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.035179, 0.035983, 9.796953, 0.208666, 0.205913
0.750000, 0.038781, 0.036580, 9.799860, -0.003539, -0.001062, 0.006418, 0.208267, 0.196227, 0.196227, 99.688787, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.041163, 0.037180, 9.801740, 0.213866, 0.226737
