Time, AccX(g), AccY(g), AccZ(g), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X, Y, Z, Vx, Vy, Vz, AccX, AccY, AccZ, RollAcc, PitchAcc
0.000000, 0.001648, -0.002507, 5.889014, 0.004555, 0.000923, 0.007335, -0.024293, 0.016015, 0.016015, 239.483783, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.002747, -0.004179, 9.815023, -0.024396, 0.016035
0.050000, 0.000153, -0.001356, 8.246773, 0.000432, 0.006726, 0.008556, -0.015981, 0.017517, 0.017517, 238.953619, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.000844, -0.000589, 9.818613, -0.009422, 0.001063
0.100000, -0.001881, -0.001614, 9.189877, 0.003334, 0.004588, 0.007029, -0.007580, 0.012741, 0.012741, 238.092765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.003237, -0.001785, 9.818613, -0.010061, -0.011728
0.150000, -0.000541, 0.000438, 9.567119, 0.007151, 0.005199, 0.006571, 0.009136, 0.013245, 0.013245, 236.738076, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000353, 0.001805, 9.818613, 0.002620, -0.003237
0.200000, -0.002877, 0.000540, 9.715143, 0.002723, 0.006879, 0.007029, 0.011283, 0.009894, 0.009894, 238.153087, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.004434, 0.000608, 9.813826, 0.003184, -0.016966
0.250000, -0.001657, 0.001299, 9.778661, 0.003944, 0.008101, 0.008862, 0.015777, 0.010426, 0.010426, 238.562735, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.000844, 0.001805, 9.821007, 0.007611, -0.009708
0.300000, -0.000451, -0.001270, 9.801196, 0.007457, 0.008559, 0.004891, 0.018917, 0.012800, 0.012800, 240.227111, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000353, -0.002982, 9.816220, -0.007423, -0.002636
0.350000, -0.004277, -0.000143, 9.811646, 0.008679, 0.008406, 0.008404, 0.024178, 0.005417, 0.005417, 237.919197, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.006828, 0.000608, 9.818613, -0.000835, -0.024976
0.400000, -0.005089, 0.000308, 9.815826, 0.008068, 0.003825, 0.008251, 0.026441, -0.011002, -0.011002, 237.844973, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.005631, 0.000608, 9.818613, 0.001796, -0.029707
0.450000, -0.001824, -0.001666, 9.817498, 0.004250, -0.000757, 0.008251, 0.016166, -0.025826, -0.025826, 238.385290, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000353, -0.002982, 9.818613, -0.009724, -0.010644
