Time, AccX(m/s^2), AccY(m/s^2), AccZ(m/s^2), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X(m), Y(m), Z(m),         Vx(m/s), Vy(m/s), Vz(m/s), AccXraw(m/s^2), AccYraw(m/s^2), AccZraw(m/s^2), RollAcc(deg/s^2), PitchAcc(deg/s^2), Latitude, Longitude,             GPShspeed(m/s), GPSalt(m), MagX(uT), MagY(ut), MagZ(uT)
0,-0.004462,-0.001448,5.876511,0.000571,0.000544,-0.000979,-0.014057,-0.043275,94.15103,4.148447,1E-05,-0.000133,-0.059002,6.5E-05,-0.000888,-0.393349,-0.007436,-0.002413,9.794184,-0.014118,-0.0435,29.702198,-95.838145,0.067,0,-0.02193,0.299495,-0.279715
0.1,-0.001938,-0.007413,8.228192,-0.002484,-0.001289,-0.001132,-0.041601,-0.029495,94.170913,4.209298,4.5E-05,-0.000313,-0.122064,0.000253,-0.001493,-0.55153,-0.000255,-0.011389,9.79598,-0.051618,-0.013493,29.702198,-95.838145,0.067,26.4,-0.02193,0.298205,-0.293045
0.2,-0.003082,-0.005131,9.170301,0.000418,0.001307,-0.000368,-0.03696,-0.018115,94.750964,5.858894,6.6E-05,-0.000552,-0.186813,0.000225,-0.002095,-0.6155,-0.003846,-0.00361,9.798373,-0.032059,-0.019259,29.702198,-95.838145,0.067,26.4,-0.03053,0.296485,-0.299495
0.3,-0.001027,-0.008168,9.547144,-0.000651,0.00314,0.000243,-0.045685,-0.001109,95.006874,4.897878,9.8E-05,-0.000779,-0.252306,0.000291,-0.002211,-0.641785,0.000343,-0.010193,9.798373,-0.049019,-0.006163,29.702198,-95.838145,0.067,26.4,-0.02537,0.296485,-0.295195
0.4,-0.001282,-0.007228,9.697882,0.002709,0.001613,0.001617,-0.037781,0.001511,95.112692,4.942756,0.000141,-0.001015,-0.318166,0.000383,-0.002306,-0.652997,-0.001452,-0.006602,9.798373,-0.042706,-0.007574,29.702198,-95.838145,0.067,26.4,-0.02537,0.293045,-0.299065
0.5,-0.00282,-0.006494,9.758177,0.000876,-0.0019,-0.000216,-0.037452,-0.012818,95.23951,5.291694,0.000188,-0.00132,-0.384243,0.00044,-0.002803,-0.658179,-0.003846,-0.006004,9.798373,-0.038128,-0.016558,29.702198,-95.838145,0.067,26.4,-0.02752,0.296055,-0.295195
0.6,-0.003794,-0.001891,9.780858,-0.000956,-0.000525,0.000395,-0.031558,-0.01915,95.471905,5.797124,0.00019,-0.001711,-0.450498,0.000159,-0.00354,-0.661093,-0.004444,0.001177,9.79598,-0.011078,-0.022227,29.702198,-95.838145,0.067,26.4,-0.02967,0.290895,-0.293475
0.7,-0.003107,-0.003282,9.791367,-0.002789,-0.000525,-0.001743,-0.036748,-0.021486,95.449529,4.879531,0.00017,-0.00217,-0.516887,-7.5E-05,-0.004243,-0.662957,-0.002649,-0.004208,9.798373,-0.019203,-0.018181,29.702198,-95.838145,0.067,26.4,-0.02494,0.291325,-0.297345
0.8,-0.001037,-0.004556,9.793776,0.000113,0.000849,-0.000368,-0.031699,-0.013451,95.450762,5.233648,0.000155,-0.002645,-0.583426,-0.000129,-0.004583,-0.664579,0.000343,-0.005405,9.795381,-0.026652,-0.006065,29.702198,-95.838145,0.067,26.4,-0.02666,0.291325,-0.293905
0.9,0.002664,-0.005066,9.792226,0.002098,-0.000678,0.001312,-0.021702,-0.006469,95.508051,5.473135,0.00016,-0.003079,-0.65015,-9E-06,-0.004415,-0.666357,0.005131,-0.005405,9.791192,-0.029639,0.015586,29.702198,-95.838146,0.05,0,-0.02795,0.293475,-0.293905
