Time, AccX(m/s^2), AccY(m/s^2), AccZ(m/s^2), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X(m), Y(m), Z(m),         Vx(m/s), Vy(m/s), Vz(m/s), AccXraw(m/s^2), AccYraw(m/s^2), AccZraw(m/s^2), RollAcc(deg/s^2), PitchAcc(deg/s^2), Latitude, Longitude,             GPShspeed(m/s), GPSalt(m), MagX(uT), MagY(ut), MagZ(uT)
0.0000, 0.012773, 0.078978, 5.875074, 0.001487, -0.009688, 0.037964, 0.770324, 0.124439, 88.415947, 358.418351, 0.000011, 0.000383, -0.059017, 0.000072, 0.002552, -0.393444, 0.021288, 0.131631, 9.791791, 0.770176, 0.124552, 29.702189, -95.838178, 0.044000, 21.800000, 0.010320, 0.348515, -0.274125
0.1000, 0.031525, 0.109493, 8.225104, 0.001334, -0.011979, 0.010627, 0.769223, 0.149224, 88.419979, 358.364794, 0.000054, 0.001432, -0.122125, 0.000312, 0.007843, -0.551871, 0.044027, 0.129835, 9.791791, 0.762670, 0.219584, 29.702189, -95.838178, 0.044000, 21.800000, 0.010750, 0.327875, -0.285305
0.2000, 0.013534, 0.112722, 9.168707, 0.004083, -0.008619, 0.013223, 0.744681, 0.102581, 88.406264, 358.318808, 0.000194, 0.002662, -0.186922, 0.001040, 0.010819, -0.615936, 0.001540, 0.114875, 9.797775, 0.704371, 0.084570, 29.702189, -95.838179, 0.022000, 0.000000, 0.009890, 0.332175, -0.281435
0.3000, 0.026085, 0.119759, 9.546507, 0.004541, -0.007703, 0.017347, 0.734118, 0.117714, 88.512402, 358.693865, 0.000355, 0.004428, -0.252458, 0.001415, 0.015380, -0.642217, 0.034453, 0.124450, 9.798373, 0.718721, 0.156545, 29.702189, -95.838179, 0.022000, 21.800000, 0.008600, 0.330455, -0.280145
0.4000, 0.031106, 0.124009, 9.697268, 0.003320, -0.004954, 0.012765, 0.730256, 0.152429, 88.263182, 357.598328, 0.000516, 0.006820, -0.318360, 0.001547, 0.021070, -0.653423, 0.034453, 0.126843, 9.797775, 0.732659, 0.183771, 29.702189, -95.838179, 0.022000, 21.800000, 0.015050, 0.331745, -0.280145
0.5000, 0.022702, 0.125351, 9.757931, 0.001487, -0.006329, 0.015972, 0.724439, 0.145748, 87.910545, 357.251726, 0.000667, 0.009640, -0.384473, 0.001524, 0.025826, -0.658558, 0.017099, 0.126245, 9.798373, 0.735981, 0.133286, 29.702189, -95.838179, 0.022000, 21.800000, 0.016340, 0.326585, -0.281005
0.6000, 0.021494, 0.135941, 9.782196, 0.002098, -0.009077, 0.010169, 0.749843, 0.129091, 87.822354, 358.125377, 0.000726, 0.012880, -0.450733, 0.000899, 0.030207, -0.661252, 0.020689, 0.143000, 9.798373, 0.796171, 0.125882, 29.702189, -95.838179, 0.022000, 21.800000, 0.011610, 0.331745, -0.290895
0.7000, 0.020652, 0.130123, 9.785440, -0.000193, -0.005870, 0.006199, 0.745464, 0.128027, 87.492605, 356.778242, 0.000802, 0.016540, -0.517214, 0.000805, 0.034467, -0.663628, 0.020091, 0.126245, 9.787602, 0.761851, 0.120912, 29.702189, -95.838179, 0.022000, 21.800000, 0.019350, 0.329595, -0.287455
0.8000, 0.031087, 0.121333, 9.793200, 0.002556, -0.008161, 0.009100, 0.734171, 0.141055, 87.308865, 357.331461, 0.000983, 0.020811, -0.583819, 0.001480, 0.039961, -0.665244, 0.038043, 0.115474, 9.798373, 0.709829, 0.181861, 29.702189, -95.838179, 0.022000, 21.800000, 0.016340, 0.323145, -0.288745
0.9000, 0.033465, 0.122485, 9.796304, 0.001640, -0.006634, 0.004671, 0.724857, 0.161064, 87.236906, 357.621741, 0.001197, 0.025720, -0.650540, 0.001919, 0.046048, -0.666550, 0.035051, 0.123253, 9.798373, 0.716339, 0.195713, 29.702189, -95.838179, 0.022000, 21.800000, 0.014620, 0.324005, -0.284015
1.0000, 0.029031, 0.122946, 9.797546, 0.002403, -0.009230, 0.003297, 0.722123, 0.157100, 87.171576, 357.409079, 0.001439, 0.031161, -0.717372, 0.002249, 0.051628, -0.667730, 0.026075, 0.123253, 9.798373, 0.718942, 0.169759, 29.702189, -95.838179, 0.022000, 21.800000, 0.015910, 0.331315, -0.284445
1.1000, 0.029771, 0.127079, 9.796247, 0.000418, -0.006481, 0.011085, 0.719128, 0.166906, 87.012322, 356.589575, 0.001648, 0.037201, -0.784341, 0.002142, 0.057472, -0.669036, 0.030264, 0.129835, 9.795381, 0.743211, 0.174107, 29.702190, -95.838179, 0.124000, 0.000000, 0.020640, 0.328305, -0.277565
1.2000, 0.021809, 0.119039, 9.797882, 0.003625, -0.008467, 0.007115, 0.717803, 0.153185, 86.749273, 356.132401, 0.001958, 0.043664, -0.851417, 0.002785, 0.062244, -0.670185, 0.016500, 0.113678, 9.798972, 0.696076, 0.127522, 29.702190, -95.838179, 0.124000, 21.600000, 0.022790, 0.326585, -0.288745
1.3000, 0.023650, 0.121567, 9.798177, 0.000418, -0.005870, 0.007878, 0.706672, 0.156521, 86.615081, 356.855281, 0.002271, 0.050644, -0.918603, 0.003012, 0.067281, -0.671302, 0.024878, 0.123253, 9.798373, 0.710837, 0.138287, 29.702190, -95.838179, 0.124000, 21.600000, 0.018920, 0.327445, -0.288315
1.4000, 0.024746, 0.122938, 9.794345, 0.001640, -0.006634, 0.009253, 0.705568, 0.157118, 86.679255, 357.790541, 0.002582, 0.058147, -0.985958, 0.003079, 0.072447, -0.672801, 0.025477, 0.123851, 9.791791, 0.719131, 0.144750, 29.702190, -95.838179, 0.124000, 21.600000, 0.013760, 0.333895, -0.284445
1.5000, 0.022312, 0.131026, 9.796762, 0.006374, -0.007856, 0.005130, 0.736500, 0.148824, 86.568405, 356.263970, 0.002857, 0.066111, -1.053425, 0.002857, 0.077245, -0.674046, 0.020689, 0.136418, 9.798373, 0.766249, 0.130479, 29.702190, -95.838179, 0.124000, 21.600000, 0.021930, 0.322715, -0.284445
1.6000, 0.023134, 0.131389, 9.794856, -0.001262, -0.003427, 0.010475, 0.727157, 0.163126, 86.660168, 357.892585, 0.003081, 0.074606, -1.121045, 0.002448, 0.082380, -0.675483, 0.023681, 0.131631, 9.793586, 0.768520, 0.135309, 29.702190, -95.838179, 0.124000, 21.600000, 0.012900, 0.327875, -0.287025
1.7000, 0.025617, 0.127943, 9.796967, -0.000193, -0.006634, 0.007726, 0.720710, 0.162675, 86.669799, 356.972240, 0.003302, 0.083648, -1.188778, 0.002289, 0.087741, -0.676714, 0.027272, 0.125646, 9.798373, 0.748208, 0.149800, 29.702190, -95.838179, 0.124000, 21.600000, 0.018920, 0.339055, -0.285305
1.8000, 0.029482, 0.126565, 9.797811, 0.003167, -0.010452, 0.012613, 0.729589, 0.149060, 86.655522, 356.740117, 0.003552, 0.093247, -1.256621, 0.002431, 0.093240, -0.677863, 0.032059, 0.125646, 9.798373, 0.740085, 0.172391, 29.702191, -95.838178, 0.064000, 0.000000, 0.019780, 0.327015, -0.288745
1.9000, 0.026361, 0.129604, 9.794558, -0.000804, -0.007856, 0.016125, 0.721748, 0.146813, 86.613789, 356.476410, 0.003748, 0.103347, -1.324628, 0.002114, 0.098414, -0.679331, 0.024280, 0.131631, 9.792389, 0.758107, 0.154190, 29.702191, -95.838178, 0.064000, 21.400000, 0.021070, 0.326585, -0.290895
2.0000, 0.025112, 0.130820, 9.795411, 0.002861, -0.009688, 0.005435, 0.734007, 0.135081, 86.462139, 356.022241, 0.003924, 0.113915, -1.392768, 0.001880, 0.103258, -0.680712, 0.024280, 0.131631, 9.795980, 0.765151, 0.146874, 29.702191, -95.838178, 0.064000, 21.400000, 0.023650, 0.326155, -0.284875
2.1000, 0.023177, 0.129870, 9.797188, 0.002251, -0.012437, 0.007573, 0.740436, 0.110440, 86.256055, 355.404269, 0.004105, 0.124874, -1.461019, 0.001830, 0.107477, -0.681913, 0.021886, 0.129237, 9.798373, 0.759459, 0.135528, 29.702191, -95.838178, 0.064000, 21.400000, 0.027090, 0.325295, -0.286595
