Time, AccX(m/s^2), AccY(m/s^2), AccZ(m/s^2), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X(m), Y(m), Z(m),         Vx(m/s), Vy(m/s), Vz(m/s), AccXraw(m/s^2), AccYraw(m/s^2), AccZraw(m/s^2), RollAcc(deg/s^2), PitchAcc(deg/s^2), Latitude, Longitude,             GPShspeed(m/s), GPSalt(m), MagX(uT), MagY(ut), MagZ(uT)
0.0000, 0.033238, 0.027276, 5.876511, -0.000346, -0.006176, -0.000521, 0.265699, 0.323868, 88.398836, 358.399677, 0.000027, 0.000996, -0.059006, 0.000183, 0.006643, -0.393371, 0.055397, 0.045460, 9.794184, 0.265931, 0.324065, 29.702199, -95.838164, 0.035000, 21.000000, 0.010320, 0.313685, -0.268965
0.1000, 0.046174, 0.032441, 8.226038, 0.002861, -0.007245, -0.003117, 0.250111, 0.304770, 88.924563, 359.724104, 0.000123, 0.003008, -0.122107, 0.000699, 0.015628, -0.551797, 0.054799, 0.035885, 9.792389, 0.225954, 0.321607, 29.702199, -95.838164, 0.035000, 21.000000, 0.003010, 0.302505, -0.276705
0.2000, 0.052785, 0.038816, 9.166567, 0.001640, -0.008925, -0.001437, 0.246842, 0.296810, 89.041955, 358.869362, 0.000228, 0.006075, -0.186943, 0.000934, 0.025652, -0.616172, 0.057192, 0.043066, 9.793586, 0.242615, 0.329928, 29.702199, -95.838164, 0.035000, 21.000000, 0.007740, 0.308955, -0.277135
0.3000, 0.053993, 0.035621, 9.542060, 0.002098, -0.003885, -0.002506, 0.230502, 0.310067, 89.104822, 359.072439, 0.000388, 0.010224, -0.252584, 0.001376, 0.036210, -0.643002, 0.054799, 0.033491, 9.792389, 0.213885, 0.324200, 29.702199, -95.838164, 0.035000, 21.000000, 0.006450, 0.301645, -0.277135
0.4000, 0.053399, 0.031471, 9.695848, 0.002098, -0.005412, -0.001285, 0.205866, 0.309978, 89.583936, 0.527906, 0.000588, 0.015432, -0.318602, 0.001789, 0.046793, -0.654455, 0.053003, 0.028704, 9.798373, 0.185968, 0.315549, 29.702199, -95.838164, 0.035000, 21.000000, -0.001290, 0.304655, -0.281865
0.5000, 0.053880, 0.037351, 9.751618, 0.003014, -0.008008, -0.001895, 0.209539, 0.303050, 89.872273, 359.960829, 0.000745, 0.021693, -0.384929, 0.001644, 0.057339, -0.660329, 0.054200, 0.041271, 9.788799, 0.219451, 0.316567, 29.702199, -95.838164, 0.035000, 21.000000, 0.001720, 0.308525, -0.272405
0.6000, 0.051918, 0.034317, 9.779671, 0.001487, -0.006939, -0.004797, 0.199276, 0.298018, 89.821301, 359.152599, 0.000909, 0.028969, -0.451422, 0.001646, 0.067617, -0.663396, 0.050610, 0.032295, 9.798373, 0.201048, 0.304164, 29.702199, -95.838164, 0.042000, 0.000000, 0.006020, 0.310675, -0.273265
0.7000, 0.055442, 0.036335, 9.786584, -0.000346, -0.010605, -0.004339, 0.191458, 0.290666, 89.673401, 359.031450, 0.001028, 0.037307, -0.518118, 0.001342, 0.078128, -0.665771, 0.057791, 0.037680, 9.791192, 0.212719, 0.324578, 29.702199, -95.838164, 0.042000, 21.100000, 0.006880, 0.308525, -0.278855
0.8000, 0.053979, 0.036424, 9.793658, 0.001945, -0.005107, -0.001895, 0.195575, 0.303769, 89.494193, 358.837716, 0.001132, 0.046709, -0.584945, 0.001136, 0.088721, -0.667441, 0.053003, 0.036483, 9.798373, 0.213087, 0.315786, 29.702199, -95.838164, 0.042000, 21.100000, 0.007740, 0.306805, -0.276275
0.9000, 0.058779, 0.038973, 9.791819, -0.002331, -0.004343, -0.004339, 0.187481, 0.325107, 89.478920, 359.602142, 0.001157, 0.057297, -0.651968, 0.000547, 0.100160, -0.669301, 0.061980, 0.040672, 9.790594, 0.228041, 0.343933, 29.702199, -95.838164, 0.042000, 21.100000, 0.003870, 0.305085, -0.275415
1.0000, 0.053878, 0.043583, 9.790366, 0.001182, -0.006634, -0.002354, 0.204906, 0.322145, 89.509339, 359.543396, 0.001097, 0.068948, -0.719199, -0.000216, 0.111060, -0.671301, 0.050610, 0.046656, 9.789397, 0.255054, 0.315299, 29.702199, -95.838164, 0.042000, 21.100000, 0.003870, 0.304225, -0.277565
1.1000, 0.052276, 0.038964, 9.795170, 0.000113, -0.006481, -0.004644, 0.205756, 0.317796, 89.675159, 0.352154, 0.001028, 0.081653, -0.786557, -0.000535, 0.121722, -0.672820, 0.051208, 0.035885, 9.798373, 0.227912, 0.305777, 29.702199, -95.838164, 0.042000, 21.100000, -0.000430, 0.304225, -0.276705
1.2000, 0.051994, 0.041066, 9.796015, 0.000418, -0.004954, -0.003117, 0.211258, 0.320398, 89.705802, 359.385097, 0.000908, 0.095428, -0.854054, -0.000975, 0.132402, -0.674254, 0.051807, 0.042467, 9.796578, 0.240187, 0.304103, 29.702199, -95.838164, 0.042000, 21.100000, 0.004730, 0.307665, -0.267675
1.3000, 0.051523, 0.041548, 9.788813, -0.001720, -0.003427, -0.002201, 0.207303, 0.328032, 89.597318, 358.751870, 0.000730, 0.110282, -0.921802, -0.001512, 0.143162, -0.676410, 0.051208, 0.041869, 9.784011, 0.243183, 0.301566, 29.702201, -95.838163, 0.124000, 0.000000, 0.008170, 0.306805, -0.278855
1.4000, 0.050616, 0.036714, 9.787009, 0.000571, -0.004496, 0.000243, 0.207802, 0.327669, 89.571987, 359.455868, 0.000573, 0.126197, -0.989794, -0.001554, 0.153822, -0.678747, 0.050011, 0.033491, 9.785807, 0.214930, 0.296314, 29.702201, -95.838163, 0.124000, 21.100000, 0.004300, 0.305945, -0.271115
1.5000, 0.052048, 0.039448, 9.789160, 0.004083, -0.003580, -0.000826, 0.227422, 0.333079, 89.655561, 0.117440, 0.000418, 0.143213, -1.057987, -0.001548, 0.164717, -0.680870, 0.053003, 0.041271, 9.790594, 0.230884, 0.304633, 29.702201, -95.838163, 0.124000, 21.100000, 0.000860, 0.308955, -0.276275
1.6000, 0.052980, 0.040183, 9.789302, 0.000265, -0.007398, -0.001895, 0.226607, 0.321132, 89.534623, 358.400659, 0.000255, 0.161303, -1.126390, -0.001607, 0.175503, -0.682977, 0.053602, 0.040672, 9.789397, 0.235180, 0.310084, 29.702201, -95.838163, 0.124000, 21.100000, 0.010320, 0.315835, -0.268535
1.7000, 0.051917, 0.035809, 9.794745, 0.001182, -0.004954, -0.000216, 0.224912, 0.321377, 89.394412, 358.556548, 0.000150, 0.180456, -1.194922, -0.001230, 0.186185, -0.684540, 0.051208, 0.032893, 9.798373, 0.209465, 0.303692, 29.702201, -95.838163, 0.124000, 21.100000, 0.009030, 0.301215, -0.271115
1.8000, 0.052210, 0.034418, 9.790459, -0.000498, -0.005870, -0.002659, 0.214137, 0.317603, 89.487089, 0.597706, 0.000074, 0.200671, -1.263675, -0.000917, 0.196831, -0.686532, 0.052405, 0.033491, 9.787602, 0.201419, 0.305538, 29.702201, -95.838163, 0.124000, 21.100000, -0.001720, 0.306375, -0.277565
1.9000, 0.056995, 0.038171, 9.795208, 0.000876, -0.004649, -0.000521, 0.215796, 0.325365, 89.537403, 359.516233, -0.000023, 0.222043, -1.332556, -0.000954, 0.208093, -0.688052, 0.060184, 0.040672, 9.798373, 0.223269, 0.333376, 29.702201, -95.838163, 0.124000, 21.100000, 0.004300, 0.303365, -0.281435
2.0000, 0.062140, 0.037517, 9.796030, 0.000571, -0.002969, 0.002686, 0.215073, 0.345071, 89.503965, 358.807158, -0.000114, 0.244670, -1.401578, -0.000924, 0.220207, -0.689497, 0.065570, 0.037082, 9.796578, 0.219429, 0.363441, 29.702202, -95.838162, 0.043000, 0.000000, 0.008170, 0.302935, -0.274985
2.1000, 0.060967, 0.031511, 9.793127, -0.002178, -0.004038, -0.000979, 0.195416, 0.355241, 89.470922, 359.277702, -0.000161, 0.268515, -1.470789, -0.000623, 0.232373, -0.691236, 0.060184, 0.027507, 9.791192, 0.184356, 0.356685, 29.702202, -95.838162, 0.043000, 21.100000, 0.005590, 0.309815, -0.272405
2.2000, 0.054752, 0.032699, 9.796275, 0.000876, -0.006634, -0.003575, 0.194706, 0.345275, 89.533168, 0.258398, -0.000200, 0.293459, -1.540125, -0.000471, 0.243751, -0.692654, 0.050610, 0.033491, 9.798373, 0.191246, 0.320228, 29.702202, -95.838162, 0.043000, 21.100000, 0.000000, 0.311535, -0.272835
2.3000, 0.058012, 0.033175, 9.797534, -0.000804, -0.006023, -0.004186, 0.186450, 0.342769, 89.491141, 358.879778, -0.000251, 0.319584, -1.609585, -0.000496, 0.255414, -0.693947, 0.060184, 0.033491, 9.798373, 0.194000, 0.339245, 29.702202, -95.838162, 0.043000, 21.100000, 0.007740, 0.308095, -0.276275
2.4000, 0.046749, 0.040905, 9.778290, 0.000876, -0.003427, -0.002201, 0.194709, 0.343101, 89.453868, 359.156054, -0.000401, 0.346706, -1.679461, -0.001163, 0.265951, -0.697155, 0.039240, 0.046058, 9.765461, 0.239676, 0.273919, 29.702202, -95.838162, 0.043000, 21.100000, 0.005590, 0.302935, -0.275845
2.5000, 0.056605, 0.030712, 9.791058, 0.002709, -0.009688, 0.001312, 0.201875, 0.321162, 89.497297, 359.855851, -0.000446, 0.374973, -1.749467, -0.000687, 0.277096, -0.699092, 0.063176, 0.023917, 9.799570, 0.179718, 0.331240, 29.702202, -95.838162, 0.043000, 21.100000, 0.002580, 0.310245, -0.278855
2.6000, 0.571829, -0.044097, 9.727947, 0.004847, -0.016713, -0.014418, 0.154556, 0.708931, 89.866411, 4.298712, 0.000565, 0.413062, -1.820726, 0.006508, 0.346294, -0.708095, 0.915312, -0.093970, 9.685872, -0.259275, 3.364063, 29.702202, -95.838162, 0.043000, 21.100000, 0.003440, 0.307235, -0.279715
2.7000, 0.449751, -0.011547, 9.741120, -0.001873, -0.007092, -0.001590, 0.106106, 0.999004, 90.201638, 1.761547, 0.001627, 0.456985, -1.892709, 0.009249, 0.408256, -0.715919, 0.368366, 0.010153, 9.749902, -0.067845, 2.643488, 29.702202, -95.838162, 0.043000, 21.100000, 0.000860, 0.307235, -0.273265
2.8000, 0.396252, -0.012530, 9.795219, -0.002178, -0.005260, 0.003297, 0.061318, 1.220370, 90.445872, 1.079255, 0.002826, 0.506885, -1.964683, 0.011079, 0.468750, -0.718465, 0.360586, -0.013185, 9.831286, -0.073230, 2.316557, 29.702202, -95.838162, 0.007000, 21.100000, 0.004300, 0.308955, -0.275845
2.9000, 0.194971, -0.054572, 9.875025, -0.007218, -0.006023, 0.009558, -0.035678, 1.253986, 90.532766, 359.437667, 0.004603, 0.559932, -2.035653, 0.015539, 0.509896, -0.712622, 0.060783, -0.082600, 9.928228, -0.316566, 1.131072, 29.702202, -95.838162, 0.007000, 21.100000, 0.004730, 0.307665, -0.283155
3.0000, 0.324500, 0.006165, 9.792770, 0.003625, 0.004667, -0.008462, -0.021004, 1.436338, 90.593156, 1.229950, 0.005922, 0.619468, -2.107342, 0.013974, 0.566870, -0.715467, 0.410853, 0.046656, 9.737934, 0.036051, 1.897896, 29.702202, -95.838162, 0.007000, 21.100000, 0.005160, 0.310245, -0.281005
3.1000, -0.061366, 0.063851, 9.796491, -0.003858, -0.008619, 0.000853, -0.002119, 1.241800, 90.555332, 359.077793, 0.006334, 0.678410, -2.179106, 0.007406, 0.581902, -0.716915, -0.318609, 0.102308, 9.798972, 0.373427, -0.358891, 29.702202, -95.838162, 0.007000, 21.100000, -0.003870, 0.308525, -0.273265
3.2000, 0.207244, 0.032710, 9.795466, 0.000571, 0.000391, 0.008947, 0.015353, 1.307050, 90.755536, 2.343825, 0.006539, 0.743053, -2.251125, 0.003830, 0.624922, -0.719095, 0.386318, 0.011949, 9.794783, 0.191282, 1.212030, 29.702202, -95.838162, 0.007000, 21.100000, -0.002150, 0.311965, -0.269825
3.3000, 0.065151, 0.032461, 9.796133, -0.000651, 0.000849, -0.000826, 0.025130, 1.263829, 90.836442, 0.646821, 0.006438, 0.809756, -2.323299, 0.000604, 0.652998, -0.720862, -0.029577, 0.032295, 9.796578, 0.189851, 0.381051, 29.702202, -95.838162, 0.007000, 21.100000, -0.004300, 0.304225, -0.283155
3.4000, 0.008673, 0.016922, 9.779884, -0.002331, -0.005260, 0.002075, 0.015017, 1.151221, 90.773900, 358.877381, 0.006241, 0.878130, -2.395869, -0.001109, 0.673493, -0.724088, -0.028979, 0.006563, 9.769051, 0.099138, 0.050813, 29.702202, -95.838162, 0.007000, 21.100000, 0.005160, 0.305085, -0.277135
3.5000, -0.042283, 0.128833, 9.839808, -0.003094, -0.007245, 0.004519, 0.080099, 1.001733, 90.765333, 0.244139, 0.004378, 0.947403, -2.467840, -0.012789, 0.686313, -0.721167, -0.076253, 0.203440, 9.879757, 0.750124, -0.246182, 29.702202, -95.838162, 0.040000, 0.000000, -0.003440, 0.307665, -0.272835
3.6000, 0.166406, 0.145950, 9.828591, 0.001182, -0.005412, -0.046336, 0.173994, 1.015940, 90.660343, 2.381350, 0.001299, 1.021123, -2.539739, -0.024791, 0.720242, -0.719718, 0.305532, 0.157362, 9.821113, 0.850633, 0.969867, 29.702202, -95.838162, 0.040000, 21.100000, -0.004300, 0.305515, -0.276275
3.7000, 0.322409, -0.016313, 9.811896, 0.003778, -0.000373, 0.026968, 0.163940, 1.159284, 91.011161, 2.399696, -0.000652, 1.100971, -2.611812, -0.021272, 0.772398, -0.720390, 0.426411, -0.124489, 9.800767, -0.095208, 1.882004, 29.702202, -95.838162, 0.040000, 21.100000, -0.000860, 0.303795, -0.269825
3.8000, 0.205287, -0.070447, 9.809886, 0.000876, -0.001747, 0.009253, 0.103011, 1.204652, 91.145128, 0.667607, -0.001582, 1.184408, -2.683952, -0.013288, 0.813714, -0.721064, 0.127206, -0.106537, 9.808546, -0.411358, 1.198800, 29.702202, -95.838162, 0.040000, 21.100000, 0.000000, 0.312395, -0.277995
3.9000, 0.111763, -0.004853, 9.795439, -0.002942, -0.015033, -0.001285, 0.070347, 1.115824, 91.172378, 0.650813, -0.002750, 1.270321, -2.756338, -0.012219, 0.843991, -0.722925, 0.049413, 0.038877, 9.785807, -0.028383, 0.653698, 29.702202, -95.838162, 0.040000, 21.100000, -0.002150, 0.313255, -0.281435
4.0000, 0.068249, 0.014922, 9.797199, 0.000723, -0.010146, -0.004950, 0.072430, 1.031152, 91.110379, 359.887301, -0.004081, 1.358387, -2.828864, -0.012947, 0.868437, -0.724485, 0.039240, 0.028106, 9.798373, 0.087266, 0.399126, 29.702202, -95.838162, 0.040000, 21.100000, 0.001720, 0.308525, -0.277565
4.1000, 0.042945, 0.020319, 9.797904, 0.004694, -0.005107, -0.002354, 0.098078, 0.962092, 91.012437, 359.501153, -0.005484, 1.448341, -2.901525, -0.013668, 0.889173, -0.725903, 0.026075, 0.023917, 9.798373, 0.118819, 0.251128, 29.702202, -95.838162, 0.040000, 21.100000, 0.003440, 0.310245, -0.275415
4.2000, 0.068009, 0.042225, 9.795313, 0.003167, -0.003732, -0.000979, 0.127283, 0.920218, 90.931391, 359.890975, -0.007213, 1.540633, -2.974370, -0.016080, 0.911668, -0.727600, 0.084719, 0.056829, 9.793586, 0.246981, 0.397797, 29.702202, -95.838161, 0.011000, 0.000000, 0.003010, 0.318415, -0.277565
4.3000, 0.064391, 0.033035, 9.797149, 0.001792, -0.007092, -0.002048, 0.141031, 0.860839, 90.847555, 359.846802, -0.009002, 1.634971, -3.047353, -0.017285, 0.932810, -0.729088, 0.061980, 0.026909, 9.798373, 0.193193, 0.376567, 29.702202, -95.838161, 0.011000, 21.200000, 0.002580, 0.308525, -0.277135
4.4000, 0.187533, -0.130057, 9.768801, 0.002098, -0.004343, 0.119819, 0.051756, 0.897683, 91.543633, 2.242706, -0.008785, 1.733415, -3.120944, -0.004320, 0.967227, -0.733633, 0.269628, -0.238785, 9.749902, -0.762622, 1.099684, 29.702202, -95.838161, 0.011000, 21.200000, -0.003870, 0.301215, -0.277135
4.5000, 0.113637, -0.029415, 9.786544, -0.004469, -0.006787, -0.005102, -0.002188, 0.872405, 91.470073, 0.427668, -0.008883, 1.834087, -3.194702, -0.002090, 0.993556, -0.736265, 0.064373, 0.037680, 9.798373, -0.172197, 0.665262, 29.702202, -95.838161, 0.011000, 21.200000, -0.000430, 0.304225, -0.281435
4.6000, 0.091978, -0.008187, 9.804772, 0.000265, -0.002205, -0.002506, -0.013719, 0.858539, 91.344585, 359.683709, -0.009089, 1.937027, -3.268444, -0.002067, 1.017452, -0.737036, 0.077538, 0.005964, 9.816924, -0.047841, 0.537472, 29.702202, -95.838161, 0.011000, 21.200000, 0.003870, 0.306805, -0.275415
4.7000, 0.094445, -0.009749, 9.858739, -0.000804, -0.009230, -0.003423, -0.030612, 0.809723, 91.210331, 359.937654, -0.009302, 2.042279, -3.341451, -0.002113, 1.040832, -0.732393, 0.096089, -0.010791, 9.894717, -0.056658, 0.548864, 29.702202, -95.838161, 0.011000, 21.200000, 0.003010, 0.308525, -0.275415
4.8000, 0.074966, 0.031993, 9.798105, -0.003553, -0.007856, -0.016403, -0.034093, 0.760034, 90.931260, 358.651737, -0.010131, 2.149426, -3.414897, -0.006228, 1.061260, -0.733771, 0.061980, 0.059821, 9.757681, 0.187078, 0.438361, 29.702202, -95.838161, 0.011000, 21.200000, 0.009030, 0.305515, -0.283155
4.9000, 0.066456, 0.017812, 9.798984, 0.000265, -0.008008, -0.006630, -0.025228, 0.707842, 90.814195, 0.650637, -0.011125, 2.258360, -3.488463, -0.008706, 1.079977, -0.735030, 0.060783, 0.008358, 9.799570, 0.104147, 0.388569, 29.702202, -95.838161, 0.011000, 21.200000, -0.001720, 0.301645, -0.275415
5.0000, 0.056948, -0.047821, 9.844216, 0.014010, 0.014288, -0.014113, 0.013567, 0.767713, 90.665138, 0.027204, -0.011277, 2.369199, -3.561478, -0.003911, 1.098919, -0.731774, 0.050610, -0.091576, 9.874371, -0.278323, 0.331445, 29.702202, -95.838161, 0.046000, 21.200000, 0.001290, 0.300355, -0.279285
5.1000, 0.174144, 0.284254, 9.791936, 0.005458, -0.003580, -0.225472, 0.206764, 0.799494, 89.461285, 0.346360, -0.015357, 2.483787, -3.634963, -0.028509, 1.130228, -0.733823, 0.252274, 0.505637, 9.757083, 1.662530, 1.018434, 29.702202, -95.838161, 0.046000, 21.200000, 0.005160, 0.310675, -0.275845
5.2000, 0.074531, 0.087479, 9.791849, -0.001415, -0.008925, -0.076421, 0.231750, 0.740670, 89.158065, 0.285852, -0.018882, 2.599837, -3.708640, -0.033000, 1.150407, -0.735789, 0.008123, -0.043704, 9.791791, 0.511846, 0.436083, 29.702202, -95.838161, 0.046000, 21.200000, -0.001290, 0.305515, -0.274985
5.3000, -0.253628, -0.538776, 9.743702, 0.030045, 0.000238, -0.368567, 0.032411, 0.531918, 87.373800, 0.053646, -0.014138, 2.712058, -3.783189, 0.020624, 1.131614, -0.742256, -0.472401, -0.956279, 9.711604, -3.163863, -1.488795, 29.702202, -95.838161, 0.046000, 21.200000, -0.013760, 0.307235, -0.278855
5.4000, -0.041284, -0.045334, 9.747781, 0.001487, -0.005870, 0.243520, -0.007502, 0.432706, 89.013924, 1.287341, -0.011407, 2.825693, -3.858347, 0.025084, 1.134771, -0.748474, 0.100278, 0.283627, 9.750500, -0.266462, -0.242659, 29.702202, -95.838161, 0.046000, 21.200000, -0.004300, 0.309815, -0.276275
5.5000, -0.012358, -0.223879, 9.807578, 0.002556, -0.006176, 0.089123, -0.147849, 0.356332, 89.716819, 1.117889, -0.005916, 2.939885, -3.933224, 0.044965, 1.139537, -0.748672, 0.006926, -0.342909, 9.847443, -1.307670, -0.072178, 29.702202, -95.838161, 0.046000, 21.200000, -0.005590, 0.306375, -0.278425
