Time, AccX(m/s^2), AccY(m/s^2), AccZ(m/s^2), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X(m), Y(m), Z(m),         Vx(m/s), Vy(m/s), Vz(m/s), AccXraw(m/s^2), AccYraw(m/s^2), AccZraw(m/s^2), RollAcc(deg/s^2), PitchAcc(deg/s^2), Latitude, Longitude,             GPShspeed(m/s), GPSalt(m), MagX(uT), MagY(ut), MagZ(uT)
0.0000, 0.007387, 0.136785, 5.879024, 0.002709, -0.009077, -0.001743, 1.332856, 0.071925, 83.134626, 353.136557, 0.000027, 0.000220, -0.058941, 0.000177, 0.001466, -0.392940, 0.012312, 0.227975, 9.798373, 1.332835, 0.071972, 29.702183, -95.838178, 0.035000, 16.800000, 0.033110, 0.265955, -0.272835
0.1000, 0.011778, 0.195089, 8.230634, 0.000723, -0.010146, -0.007088, 1.348868, 0.052677, 83.716400, 354.620455, 0.000057, 0.000657, -0.121891, 0.000261, 0.003403, -0.550647, 0.014705, 0.233959, 9.798373, 1.357815, 0.081966, 29.702183, -95.838178, 0.035000, 16.800000, 0.025370, 0.258215, -0.283155
0.2000, 0.012457, 0.218052, 9.169841, 0.004236, -0.012590, -0.004797, 1.368695, 0.036763, 84.135903, 354.513545, 0.000126, 0.001270, -0.186519, 0.000552, 0.005217, -0.614404, 0.012910, 0.233360, 9.795980, 1.362192, 0.077814, 29.702183, -95.838178, 0.035000, 16.800000, 0.025800, 0.258215, -0.278855
0.3000, 0.013447, 0.226160, 9.546960, 0.002556, -0.011063, -0.006630, 1.369497, 0.042906, 84.512865, 354.805243, 0.000242, 0.002096, -0.251865, 0.000955, 0.007248, -0.640442, 0.014107, 0.231565, 9.798373, 1.357035, 0.080679, 29.702183, -95.838178, 0.035000, 16.800000, 0.024940, 0.263375, -0.279285
0.4000, 0.004867, 0.230480, 9.697808, 0.004541, -0.012284, -0.003881, 1.375917, 0.021708, 84.830845, 354.987138, 0.000386, 0.002945, -0.317551, 0.001276, 0.008077, -0.651387, -0.000853, 0.233360, 9.798373, 1.361447, 0.028745, 29.702183, -95.838178, 0.035000, 16.800000, 0.023650, 0.263375, -0.277135
0.5000, 0.008616, 0.231131, 9.757788, 0.007901, -0.010146, -0.005255, 1.386033, 0.027896, 84.857202, 354.357256, 0.000606, 0.003946, -0.383432, 0.001890, 0.009364, -0.656336, 0.011115, 0.231565, 9.797775, 1.356901, 0.050574, 29.702181, -95.838171, 0.025000, 0.000000, 0.026230, 0.255635, -0.282295
0.6000, 0.006525, 0.237136, 9.782139, -0.002025, -0.015186, -0.002354, 1.371553, 0.010998, 84.603525, 353.562690, 0.000763, 0.005012, -0.449441, 0.001678, 0.010228, -0.658835, 0.005131, 0.241140, 9.798373, 1.388678, 0.038204, 29.702181, -95.838171, 0.025000, 18.500000, 0.030530, 0.262515, -0.278855
0.7000, 0.008920, 0.237025, 9.791880, 0.001487, -0.014881, -0.004950, 1.374830, 0.008489, 84.809334, 355.602946, 0.000915, 0.006192, -0.515553, 0.001571, 0.011279, -0.660360, 0.010516, 0.236951, 9.798373, 1.386646, 0.052177, 29.702181, -95.838171, 0.025000, 18.500000, 0.021070, 0.263375, -0.281005
0.8000, 0.010955, 0.232672, 9.795776, 0.003014, -0.015186, -0.003728, 1.373321, 0.011379, 85.210785, 356.156556, 0.001120, 0.007510, -0.581761, 0.001895, 0.012546, -0.661506, 0.012312, 0.229770, 9.798373, 1.360648, 0.064057, 29.702181, -95.838171, 0.025000, 18.500000, 0.018060, 0.256925, -0.284015
0.9000, 0.017873, 0.232367, 9.797334, 0.000113, -0.009841, -0.002354, 1.360341, 0.048387, 85.078934, 353.645166, 0.001348, 0.009155, -0.648061, 0.002148, 0.015149, -0.662499, 0.022485, 0.232163, 9.798373, 1.358647, 0.104491, 29.702181, -95.838171, 0.025000, 18.500000, 0.030960, 0.265525, -0.283155
