Time, AccX(m/s^2), AccY(m/s^2), AccZ(m/s^2), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X(m), Y(m), Z(m),         Vx(m/s), Vy(m/s), Vz(m/s), AccXraw(m/s^2), AccYraw(m/s^2), AccZraw(m/s^2), RollAcc(deg/s^2), PitchAcc(deg/s^2), Latitude, Longitude,             GPShspeed(m/s), GPSalt(m), MagX(uT), MagY(ut), MagZ(uT)
0.0000, -0.208400, -0.010424, 5.847069, 0.061657, -0.092155, 0.003450, -0.093723, -2.038244, 66.881402, 336.863999, -0.002440, -0.005747, -0.059611, -0.016264, -0.038314, -0.397403, -0.347333, -0.017374, 9.745115, -0.102082, -2.041254, 29.702158, -95.838178, 0.027000, 26.700000, 0.096750, 0.250905, -0.289175
0.1000, -0.109005, -0.258027, 7.989139, -0.111218, 0.064379, 0.006046, -1.370140, -1.163332, 67.278536, 337.901638, -0.004712, -0.013719, -0.126663, -0.020568, -0.065920, -0.579487, -0.042742, -0.423095, 9.417186, -1.849679, -0.781298, 29.702158, -95.838178, 0.027000, 26.700000, 0.092020, 0.243165, -0.290895
0.2000, -0.165113, -0.120816, 9.070730, -0.002636, -0.009688, 0.001159, -1.129663, -1.066842, 67.711173, 338.261075, -0.009474, -0.024617, -0.195762, -0.038605, -0.094622, -0.653817, -0.202518, -0.029342, 9.791791, -0.762968, -1.042736, 29.702158, -95.838178, 0.027000, 26.700000, 0.090730, 0.243165, -0.285735
0.3000, -0.853945, -0.284590, 10.654827, 0.013857, -0.469670, -0.496544, -1.304250, -4.130116, 64.192985, 331.195486, -0.023342, -0.056221, -0.249753, -0.105323, -0.242236, -0.577880, -1.313167, -0.393773, 11.710892, -1.525118, -4.580624, 29.702158, -95.838178, 0.027000, 26.700000, 0.094170, 0.238005, -0.288315
0.4000, -0.477091, 0.930976, 9.725539, 0.264006, -0.225476, -1.240577, 2.823142, -4.113309, 63.406249, 343.087472, -0.047818, -0.093190, -0.309187, -0.198277, -0.327205, -0.588858, -0.225856, 1.741353, 9.106013, 5.461443, -2.795664, 29.702158, -95.838178, 0.027000, 26.700000, 0.081270, 0.240155, -0.294335
0.5000, -0.261004, 0.081910, 10.067966, -0.076093, 0.126535, -0.481883, 1.867063, -2.298892, 67.739863, 346.890733, -0.068004, -0.136534, -0.364522, -0.200670, -0.398030, -0.565186, -0.116945, -0.484133, 10.296250, 0.465977, -1.484963, 29.702158, -95.838178, 0.027000, 26.700000, 0.050740, 0.246605, -0.297775
0.6000, 0.091126, 0.307782, 9.723456, 0.028518, -0.048784, 0.012154, 2.165625, -0.917119, 73.649037, 349.387098, -0.087482, -0.177520, -0.422266, -0.196743, -0.405914, -0.573350, 0.325878, 0.458362, 9.493783, 1.812928, 0.536676, 29.702158, -95.838177, 0.001000, 0.000000, 0.060630, 0.256065, -0.292185
0.7000, 0.508443, -0.290520, 9.783486, -0.100986, 0.029712, 0.358362, 0.490350, 1.212439, 79.163496, 349.643197, -0.099626, -0.208629, -0.480235, -0.146539, -0.342697, -0.577581, 0.786654, -0.689388, 9.823507, -1.698604, 2.973647, 29.702158, -95.838177, 0.001000, 26.800000, 0.065360, 0.249615, -0.294765
0.8000, 0.145059, 0.016627, 9.792418, -0.040663, -0.054892, -0.068938, 0.238290, 1.532209, 79.912539, 343.518699, -0.112855, -0.236953, -0.538368, -0.137040, -0.303064, -0.580079, -0.097197, 0.221392, 9.798373, 0.097276, 0.848680, 29.702158, -95.838177, 0.001000, 26.800000, 0.073530, 0.251765, -0.289605
0.9000, -0.023633, 0.038953, 9.809276, -0.013632, -0.016713, -0.009837, 0.214603, 1.541857, 80.379480, 344.665995, -0.125989, -0.263700, -0.596429, -0.133242, -0.279333, -0.580435, -0.136094, 0.053837, 9.820514, 0.227523, -0.138039, 29.702158, -95.838177, 0.001000, 26.800000, 0.065360, 0.251335, -0.288315
