Time, AccX(m/s^2), AccY(m/s^2), AccZ(m/s^2), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X(m), Y(m), Z(m),         Vx(m/s), Vy(m/s), Vz(m/s), AccXraw(m/s^2), AccYraw(m/s^2), AccZraw(m/s^2), RollAcc(deg/s^2), PitchAcc(deg/s^2), Latitude, Longitude,             GPShspeed(m/s), GPSalt(m), MagX(uT), MagY(ut), MagZ(uT)
0.0000, -0.068372, 0.139298, 5.865021, -0.000040, -0.014728, -0.001743, 1.360225, -0.667936, 89.252998, 359.240307, -0.000027, -0.002051, -0.059168, -0.000182, -0.013675, -0.394452, -0.113953, 0.232163, 9.775035, 1.360464, -0.667710, 29.702174, -95.838167, 0.029000, 28.900000, 0.000860, 0.285735, -0.258215
0.1000, -0.093925, 0.191786, 8.204926, 0.002861, -0.013506, -0.004339, 1.355158, -0.694168, 89.340276, 359.478050, -0.000044, -0.006319, -0.122682, -0.000173, -0.033011, -0.554909, -0.110961, 0.226778, 9.764862, 1.338928, -0.655681, 29.702174, -95.838167, 0.029000, 28.900000, -0.000430, 0.278855, -0.266385
0.2000, -0.105583, 0.205241, 9.136220, 0.004847, -0.011368, -0.001285, 1.329382, -0.701590, 88.937831, 358.059048, -0.000020, -0.012884, -0.188274, 0.000101, -0.054767, -0.622255, -0.113355, 0.214211, 9.757083, 1.286821, -0.661943, 29.702174, -95.838167, 0.029000, 28.900000, 0.006450, 0.275415, -0.265095
0.3000, -0.115273, 0.210623, 9.522023, 0.002709, -0.014728, -0.005713, 1.292738, -0.723081, 88.831161, 359.063202, -0.000018, -0.021893, -0.254818, 0.000046, -0.078317, -0.651041, -0.121732, 0.214211, 9.779224, 1.267059, -0.693413, 29.702174, -95.838167, 0.029000, 28.900000, 0.001290, 0.275845, -0.266385
0.4000, -0.116635, 0.213853, 9.668804, 0.001640, -0.008467, -0.004186, 1.267822, -0.710396, 88.945980, 359.368589, -0.000077, -0.033272, -0.322037, -0.000376, -0.101966, -0.665143, -0.117543, 0.216006, 9.766658, 1.266960, -0.690958, 29.702174, -95.838168, 0.116000, 0.000000, 0.000000, 0.283155, -0.264665
0.5000, -0.121130, 0.216940, 9.730747, 0.003014, -0.011368, -0.004186, 1.263478, -0.721076, 89.362469, 0.348731, -0.000190, -0.047122, -0.389739, -0.000880, -0.126323, -0.673056, -0.124126, 0.218998, 9.772043, 1.277059, -0.713011, 29.702174, -95.838168, 0.116000, 28.800000, -0.005160, 0.279715, -0.269395
0.6000, -0.114669, 0.216021, 9.752293, 0.005763, -0.014423, -0.004950, 1.267190, -0.719496, 89.324685, 358.721363, -0.000325, -0.063311, -0.457907, -0.001189, -0.150036, -0.678809, -0.110363, 0.215408, 9.766658, 1.268851, -0.673498, 29.702174, -95.838168, 0.116000, 28.800000, 0.003440, 0.282295, -0.264665
0.7000, -0.113521, 0.219962, 9.768811, 0.002556, -0.013964, -0.002812, 1.266733, -0.712008, 89.289066, 359.117936, -0.000547, -0.081838, -0.526401, -0.001875, -0.173523, -0.682897, -0.112756, 0.222589, 9.779823, 1.289809, -0.665624, 29.702174, -95.838168, 0.116000, 28.800000, 0.001290, 0.276275, -0.265095
0.8000, -0.114498, 0.221179, 9.765365, 0.002709, -0.018393, -0.004797, 1.270434, -0.724207, 89.094509, 358.405703, -0.000860, -0.102758, -0.595356, -0.002713, -0.197308, -0.687332, -0.115150, 0.221990, 9.763067, 1.297400, -0.671587, 29.702174, -95.838168, 0.116000, 28.800000, 0.004730, 0.275415, -0.262945
0.9000, -0.114530, 0.218434, 9.766140, 0.005916, -0.015339, -0.004033, 1.280213, -0.719576, 89.131056, 359.546792, -0.001188, -0.126046, -0.664744, -0.003091, -0.221025, -0.691695, -0.114551, 0.216605, 9.766658, 1.281205, -0.671724, 29.702174, -95.838168, 0.116000, 28.800000, -0.000860, 0.278425, -0.265095
1.0000, -0.115979, 0.222004, 9.779735, 0.000723, -0.011521, -0.006477, 1.272467, -0.702861, 89.339525, 0.229418, -0.001609, -0.151687, -0.734362, -0.003840, -0.244615, -0.694686, -0.116945, 0.224384, 9.788799, 1.300324, -0.679271, 29.702174, -95.838168, 0.116000, 28.800000, -0.004300, 0.278425, -0.264665
1.1000, -0.107942, 0.216251, 9.777274, 0.000418, -0.014270, -0.002964, 1.256438, -0.688194, 89.681445, 0.812481, -0.002039, -0.179530, -0.804315, -0.004146, -0.267153, -0.697919, -0.102583, 0.212416, 9.775634, 1.266970, -0.632368, 29.702174, -95.838168, 0.116000, 28.800000, -0.006880, 0.279715, -0.269825
1.2000, -0.109035, 0.216822, 9.777726, 0.007138, -0.013659, -0.004492, 1.273820, -0.676017, 89.636022, 358.582188, -0.002466, -0.209611, -0.874585, -0.004229, -0.289595, -0.701103, -0.109764, 0.217203, 9.778027, 1.270255, -0.638743, 29.702174, -95.838169, 0.087000, 0.000000, 0.003870, 0.273695, -0.271975
1.3000, -0.119526, 0.222437, 9.778266, 0.005305, -0.012437, -0.002659, 1.287280, -0.677019, 89.575816, 359.118886, -0.002956, -0.242097, -0.945165, -0.004674, -0.313101, -0.704233, -0.126520, 0.226179, 9.778626, 1.303046, -0.700146, 29.702174, -95.838169, 0.087000, 28.700000, 0.000860, 0.274555, -0.267245
1.4000, -0.118695, 0.221451, 9.770224, 0.007443, -0.011674, -0.004033, 1.305818, -0.673640, 89.706403, 0.481296, -0.003422, -0.276911, -1.016178, -0.004668, -0.336460, -0.708167, -0.118142, 0.220794, 9.764862, 1.298342, -0.695856, 29.702174, -95.838169, 0.087000, 28.700000, -0.005590, 0.278425, -0.264665
1.5000, -0.119081, 0.215312, 9.775624, 0.006527, -0.011368, -0.005102, 1.307680, -0.670289, 89.789288, 359.859199, -0.003784, -0.314059, -1.087506, -0.003970, -0.359809, -0.711574, -0.119339, 0.211219, 9.779224, 1.261664, -0.697742, 29.702174, -95.838169, 0.087000, 28.700000, -0.002580, 0.277565, -0.268535
