Time, AccX(m/s^2), AccY(m/s^2), AccZ(m/s^2), GyrX(rad/s), GyrY(rad/s), GyrZ(rad/s), Roll(deg), Pitch(deg), Yaw(deg), Heading, X(m), Y(m), Z(m),         Vx(m/s), Vy(m/s), Vz(m/s), AccXraw(m/s^2), AccYraw(m/s^2), AccZraw(m/s^2), RollAcc(deg/s^2), PitchAcc(deg/s^2), Latitude, Longitude,             GPShspeed(m/s), GPSalt(m), MagX(uT), MagY(ut), MagZ(uT)
0.0000, -0.191095, -0.036617, 5.728584, -0.002523, -0.026271, -0.005237, -0.352467, -1.909264, 61.231566, 331.344090, -0.002739, -0.005031, -0.061363, -0.018257, -0.033538, -0.409085, -0.318491, -0.061028, 9.547639, -0.366023, -1.910533, 29.702598, -95.840475, 0.010000, 39.795000, 0.128140, 0.265525, -0.462895
0.1000, -0.129300, -0.051264, 8.155018, 0.004960, -0.026729, -0.007528, -0.346531, -1.404428, 62.523533, 334.426241, -0.006816, -0.012778, -0.127178, -0.033271, -0.062829, -0.575129, -0.088104, -0.061028, 9.772642, -0.360119, -0.908347, 29.702598, -95.840475, 0.010000, 39.795000, 0.116960, 0.256065, -0.465475
0.2000, -0.185368, -0.076152, 9.062041, 0.002975, -0.017871, -0.003404, -0.414391, -1.252519, 62.703235, 332.031535, -0.012639, -0.024245, -0.195999, -0.049911, -0.097388, -0.650515, -0.222746, -0.092744, 9.666723, -0.481365, -1.171803, 29.702598, -95.840475, 0.010000, 39.795000, 0.119540, 0.250045, -0.471925
0.3000, -0.282835, -0.000654, 9.335089, -0.001301, -0.021384, -0.004626, -0.218102, -1.473266, 62.936937, 333.097058, -0.021664, -0.040728, -0.268330, -0.076801, -0.142352, -0.699048, -0.347814, 0.049678, 9.517121, -0.004012, -1.735421, 29.702598, -95.840475, 0.010000, 39.795000, 0.115240, 0.258215, -0.467625
0.4000, -0.336543, 0.093455, 9.883062, 0.006487, -0.020009, -0.004168, 0.208405, -1.725490, 63.227608, 333.448966, -0.034398, -0.063065, -0.337354, -0.110493, -0.196364, -0.693176, -0.372348, 0.156195, 10.248378, 0.541465, -1.950224, 29.702598, -95.840475, 0.010000, 39.795000, 0.113950, 0.255205, -0.474075
0.5000, -0.259289, 0.046364, 9.934218, 0.002059, -0.013595, -0.005695, 0.322251, -1.645928, 63.624362, 334.131433, -0.048948, -0.090083, -0.404980, -0.133832, -0.245570, -0.681899, -0.207786, 0.014970, 9.968322, 0.267313, -1.495096, 29.702598, -95.840475, 0.010000, 39.795000, 0.114810, 0.256495, -0.476655
0.6000, -0.116723, 0.018552, 9.871382, 0.007709, -0.027340, -0.005848, 0.332919, -1.282874, 64.173407, 334.991735, -0.064014, -0.119453, -0.472326, -0.145051, -0.277658, -0.676275, -0.021680, 0.000010, 9.829491, 0.107670, -0.677457, 29.702598, -95.840475, 0.010000, 39.795000, 0.120830, 0.261225, -0.465905
0.7000, -0.238502, 0.008863, 9.725967, 0.004808, -0.019398, -0.007069, 0.298365, -1.301141, 64.156077, 332.979144, -0.080958, -0.153692, -0.541334, -0.161311, -0.320815, -0.685479, -0.319688, 0.002403, 9.629023, 0.052195, -1.404738, 29.702598, -95.840475, 0.010000, 39.795000, 0.114380, 0.254775, -0.472355
0.8000, -0.290086, 0.004628, 9.769770, -0.007104, -0.014664, -0.004626, 0.216838, -1.406529, 63.881477, 332.440349, -0.100152, -0.193123, -0.610638, -0.181731, -0.369809, -0.690514, -0.324476, 0.001805, 9.798972, 0.027130, -1.700740, 29.702599, -95.840475, 0.019000, 39.691000, 0.119110, 0.258215, -0.476225
0.9000, -0.274456, 0.114957, 9.979740, 0.007862, -0.027798, -0.005237, 0.428538, -1.490528, 63.733367, 333.136752, -0.122412, -0.237019, -0.677292, -0.208976, -0.415908, -0.674534, -0.264036, 0.188509, 10.119719, 0.659711, -1.575209, 29.702599, -95.840475, 0.019000, 39.691000, 0.119540, 0.251335, -0.465905
